partner,score
Camille,0.876422446225378
Malphite,0.8475195113263271
Renekton,0.8390961812113086
Galio,0.8318794860497152
Poppy,0.8291843269853687
Wukong,0.8272632381148862
Yasuo,0.8199032926030009
Nasus,0.8068093476662397
Volibear,0.801194254934293
Sylas,0.7981416526662698
Urgot,0.7941611962329485
Riven,0.7938019591365157
Heimerdinger,0.7934063815965253
Tryndamere,0.7894916084185941
Darius,0.7884027746354377
Rengar,0.7882599423165593
Kled,0.7758374856595933
Gnar,0.7725789746558968
Ambessa,0.7699941978730132
Gangplank,0.7645441548204728
Maokai,0.757806311308804
Sett,0.7532682678560232
Jayce,0.7521876638503997
Irelia,0.7469243918329178
Udyr,0.7459079458587121
Akali,0.7409811185336863
Ryze,0.740943405853995
Vladimir,0.7408263220567939
Illaoi,0.7381870568508155
Olaf,0.73298541640142
Karma,0.7319121547589073
Pantheon,0.7304956022835702
Garen,0.7277252531459257
Yorick,0.7246576622185208
Yone,0.7243697591155597
Aurora,0.7215800755594444
Gragas,0.7198193701994178
Fiora,0.7163594542372954
Kennen,0.7160958776263642
Singed,0.7151694041845531
Cassiopeia,0.7127669394761063
Ornn,0.7064198778777024
Shen,0.7061573852254424
Warwick,0.7040304053498734
Teemo,0.6995993016028352
Varus,0.6938371273524075
DrMundo,0.690453549604922
Trundle,0.6902722776066527
Kayle,0.6853957275578644
Gwen,0.6792038468970332
Jax,0.6754504308687495
Zac,0.673061899575148
Vayne,0.673053974752601
Viktor,0.6661317190397562
ChoGath,0.6606000701204676
KSante,0.6603237218936029
Quinn,0.6559641047868048
Sion,0.6487641632355801
Smolder,0.6450768110710767
Rumble,0.5868563800952403
Swain,0.5713191011715298
TahmKench,0.5439579625265949
Mordekaiser,0.5314181775082505
