partner,score
Olaf,0.9505345407646908
Galio,0.930672067408272
Darius,0.8717944778909359
Tryndamere,0.8705904116052547
Kled,0.8644897295007977
Trundle,0.8636510741863224
Sylas,0.8568921572767015
Camille,0.8568522144002304
Mordekaiser,0.8560195729340658
Sett,0.8532645381710409
Poppy,0.8512170542231633
Gwen,0.850247060247849
DrMundo,0.8448697981742096
ChoGath,0.8374829393086229
Garen,0.8370132304738591
Irelia,0.8325394091400983
Rengar,0.8223175827256272
Volibear,0.8195085330543213
Illaoi,0.8153012637050422
Shen,0.8096247097949614
Smolder,0.8063324632817376
Wukong,0.8055160952326015
Yone,0.8031396247493614
Pantheon,0.7999065586374743
Urgot,0.7913853390239883
Udyr,0.7913551067232376
Swain,0.7885095384786254
Singed,0.785357932823825
Malphite,0.785349085364631
Kayle,0.7805739670901437
Ornn,0.7802155185370838
Fiora,0.7699410006121828
Vayne,0.7698650550728254
KSante,0.7697798229778838
Gnar,0.7673907548621546
Sion,0.7654520098274806
Varus,0.759195008474135
Riven,0.7575709317265931
Ambessa,0.7542887037887059
Yasuo,0.7532170599965766
Cassiopeia,0.7500508486732529
Nasus,0.7479835200771998
Aatrox,0.7409811185336863
Aurora,0.7356981927586284
Renekton,0.7353274096299558
Zac,0.7341307528981367
Quinn,0.7338264235548579
Ryze,0.7328921315840345
Teemo,0.725643593687858
Maokai,0.7232507848540682
Yorick,0.7193895182310128
Karma,0.7143521493956977
Gragas,0.7139809456213309
Viktor,0.7114575383632349
Warwick,0.7048917591602335
Jayce,0.702065337380437
Gangplank,0.7005642943993083
Heimerdinger,0.6995349188839626
TahmKench,0.6832905663869571
Rumble,0.6777613673084619
Kennen,0.6642895085615961
Vladimir,0.6567199633007323
Jax,0.6237392047363723
