partner,score
Galio,0.9743117203855587
Malphite,0.9355906825661751
Olaf,0.9316743275428616
Renekton,0.9230352973118212
Sylas,0.9230085303903823
Rengar,0.9216392931552987
Kled,0.9172744067511538
Gnar,0.9067924200698749
Volibear,0.9034926599678272
Teemo,0.8947801503032198
ChoGath,0.8886236913546153
Pantheon,0.8844534690844525
Poppy,0.8794794234108201
Nasus,0.8771192781343139
Mordekaiser,0.8746361497052256
Warwick,0.8718823824166311
Quinn,0.8642624951349318
Gangplank,0.8631637410969628
Gragas,0.8623120291751122
Shen,0.862038335072044
Ryze,0.8543567796527674
Aurora,0.8527015337375301
Cassiopeia,0.8526610198296922
Viktor,0.8512990867787626
Urgot,0.8502754953280418
Gwen,0.8449282999909742
Sett,0.8397334287061269
Kennen,0.8330165705858967
Ornn,0.8325862888077906
Darius,0.831457730572719
Trundle,0.8309544969744733
DrMundo,0.8309078095043106
Smolder,0.8277714705706087
Illaoi,0.8252041218465199
Jax,0.8232166584734022
Camille,0.8223430551709388
Jayce,0.8204302825193537
TahmKench,0.8150644140639898
Swain,0.8136082642336175
Vayne,0.8110108883865428
Vladimir,0.8099357729682156
KSante,0.8078875016052876
Garen,0.8052051714046355
Sion,0.7978012746419516
Maokai,0.7972451065986786
Fiora,0.7951735521283075
Tryndamere,0.79471435491853
Wukong,0.7927486266115171
Udyr,0.7913943035554718
Heimerdinger,0.7771154059396372
Zac,0.7763307938295005
Varus,0.774334375803722
Aatrox,0.7699941978730132
Karma,0.7650872549610839
Akali,0.7542887037887059
Irelia,0.7455603673136781
Singed,0.7359926867206515
Kayle,0.7352831967409804
Yorick,0.730468298014856
Rumble,0.7285768937340467
Yasuo,0.686267125687036
Riven,0.6760362759275695
Yone,0.6746507882151951
