partner,score
Renekton,0.9975696850311221
Warwick,0.9878945045103175
Poppy,0.9748571415214025
Camille,0.9634072662696812
Galio,0.955159413070421
Zaahen,0.9496670318827816
Darius,0.9363942333727107
Shen,0.9357335397135909
Garen,0.9319964351394724
Jax,0.9302204302501407
Sylas,0.9269249850056954
Pantheon,0.9202543353071819
Nasus,0.9074827295228746
Ryze,0.9044344314927529
Gangplank,0.902850894396031
Sion,0.8980025086933229
Kled,0.8940264451119503
Gwen,0.88572964643156
Yorick,0.8800332869776368
Swain,0.8772334166334772
Illaoi,0.8742032409414985
Wukong,0.8724778954204916
Gnar,0.8702089640953445
Fiora,0.8670969788355753
Sett,0.8666097535726469
Volibear,0.8646695703975742
Yasuo,0.8626795034393328
Ambessa,0.862066578271906
Maokai,0.8594407916663505
Malphite,0.8585106687838899
Urgot,0.8576159620648596
Tryndamere,0.8566415734407863
Gragas,0.8537032608874403
Ornn,0.8509732458641325
Vladimir,0.8477504360987699
Rumble,0.8463194923605702
Irelia,0.8437737740087277
Trundle,0.8360019274899506
ChoGath,0.8359117140959046
Heimerdinger,0.833011611241752
TahmKench,0.8307172431408582
KSante,0.8287561074222696
Mordekaiser,0.8283572345371041
Zac,0.8278241864062624
Aatrox,0.8266242498919136
Akali,0.8179814448770003
Varus,0.8147825959674813
Quinn,0.8119503988283288
Kayle,0.8117847797928616
Olaf,0.8106110688067775
Cassiopeia,0.8089633791224474
Rengar,0.8030069802250422
Udyr,0.7891524147411456
Smolder,0.7868407481171134
Singed,0.78266209133036
DrMundo,0.7804666493806927
Jayce,0.7737428950528946
Yone,0.7661622714762306
Riven,0.763882086449268
Karma,0.7616568160346918
Teemo,0.7589415563022333
Kennen,0.7554710646725955
Viktor,0.7532466187409508
Vayne,0.7433913470293044
