partner,score
Sylas,1.0397812921362282
Ornn,0.9570381533311323
Ryze,0.9176440082632511
DrMundo,0.9043551662585394
Jayce,0.9031876550475051
Gnar,0.8934918468925163
Kled,0.888884207486772
Rumble,0.8876877994470632
KSante,0.8838739769002937
Aatrox,0.876422446225378
Pantheon,0.8742894479869794
Sion,0.8719116678768285
Urgot,0.8695654314251091
Gragas,0.8656434646765653
Akali,0.8568522144002304
Vladimir,0.8558120556033897
Galio,0.8534992217832349
Viktor,0.8508105627709073
Olaf,0.8469411436529657
TahmKench,0.8404600431891358
Tryndamere,0.8388426813565588
ChoGath,0.8319758916306368
Rengar,0.827470602791131
Yasuo,0.8257159889253456
Heimerdinger,0.823067452794588
Ambessa,0.8223430551709388
Karma,0.8205949267879445
Udyr,0.8183562556552828
Varus,0.8176982012788494
Aurora,0.8167476260533217
Mordekaiser,0.8166595796368628
Yorick,0.815964747894317
Smolder,0.8159086565073557
Teemo,0.8121182338579798
Fiora,0.8106766617218957
Gwen,0.8032005013792068
Garen,0.8012434006349597
Illaoi,0.7992653703965312
Sett,0.791703619561142
Kennen,0.7906187365003576
Poppy,0.7904910976728925
Cassiopeia,0.7885699450724548
Vayne,0.7814997476042186
Quinn,0.7805058874201407
Nasus,0.7648761922260877
Trundle,0.7603215089688498
Shen,0.7595739284367129
Zac,0.7572436606767552
Riven,0.7571980250011299
Singed,0.7556496178738381
Warwick,0.733881352933848
Irelia,0.726838328490189
Volibear,0.7260204423565234
Kayle,0.72574590409931
Malphite,0.7241928250741168
Darius,0.7221179870229182
Swain,0.7131489588767468
Yone,0.6944866689009013
Jax,0.6943331806470919
Gangplank,0.6896388230282426
Maokai,0.650289801998718
Renekton,0.6451893191331356
Wukong,0.6004135797684081
