partner,score
Kled,0.8845669925018897
Garen,0.8828267489274135
Tryndamere,0.8745475374120407
Sett,0.8602170943862433
Trundle,0.85388175408732
Ambessa,0.8526610198296922
Shen,0.8475339766723636
Fiora,0.8469069513860941
Darius,0.835262871234874
Illaoi,0.8333295876322296
Galio,0.8278883711304739
KSante,0.8269397656267294
Yasuo,0.8245697055986219
Sylas,0.8202947051435077
Rengar,0.8201895992063012
Volibear,0.8197678529228009
Poppy,0.8115731779973895
Maokai,0.8045028629898929
DrMundo,0.8019197507010041
Gwen,0.7933646380301409
Camille,0.7885699450724548
Yorick,0.7824381528165304
Mordekaiser,0.7822856243929506
Ornn,0.7799524274654439
ChoGath,0.7784730814812795
Wukong,0.771859034907212
Sion,0.7704287767020794
Smolder,0.7642887510685737
Gnar,0.7623548727478439
Irelia,0.7556535243043837
Renekton,0.7532194837485269
Warwick,0.7520512783045659
Riven,0.7517301161903889
Akali,0.7500508486732529
Kayle,0.7477775801398256
Yone,0.7446694584502505
Olaf,0.7420036241200809
Udyr,0.740812882681831
Vladimir,0.7390914006090457
Pantheon,0.7383847005167251
Vayne,0.7325502762590973
Singed,0.7309510731124694
TahmKench,0.730302084597075
Urgot,0.7149291771480482
Zac,0.7149025167425418
Aatrox,0.7127669394761063
Nasus,0.701446873189259
Ryze,0.6944601271720345
Varus,0.6939734975924886
Karma,0.6912485139122282
Aurora,0.6782774682803588
Swain,0.6735945248826061
Teemo,0.6718138167627286
Heimerdinger,0.6642633835081582
Jayce,0.6531370055325335
Rumble,0.6503440741987443
Malphite,0.6497132450163221
Gragas,0.6449984455662183
Viktor,0.643140435591595
Jax,0.6397113897660074
Quinn,0.6337911629140471
Gangplank,0.6195288835863856
Kennen,0.610354291092289
