partner,score
Volibear,0.9234490411016603
Riven,0.9098953154124714
Gnar,0.8976615661611558
Ambessa,0.8886236913546153
Darius,0.888533407733205
Tryndamere,0.8817308695193851
Poppy,0.862908745937205
Warwick,0.8607114498710771
Pantheon,0.8425072548855833
Udyr,0.839633427397778
Akali,0.8374829393086229
Camille,0.8319758916306368
Zac,0.8234582090219522
Kled,0.8225725418697336
Illaoi,0.8184304060696934
Wukong,0.8166466206514646
Yasuo,0.8109458044970091
Varus,0.8103627022742129
Jax,0.8028485188270619
Gwen,0.7793845104669658
Cassiopeia,0.7784730814812795
Renekton,0.7769421841882036
Yone,0.7728298428734215
Fiora,0.7724667065861045
Jayce,0.767942993695631
KSante,0.766677536271438
Sett,0.7637211251177423
Malphite,0.7606663591062582
Kennen,0.750423745298185
Singed,0.7465208235415957
Sylas,0.7464461406435903
Vayne,0.7452104222537459
Teemo,0.743641199230902
Urgot,0.741373548537343
Irelia,0.7369415247790956
Gragas,0.7207465464475415
Yorick,0.7184460606309722
Aurora,0.7179596065714704
Ornn,0.7146357688192493
Rengar,0.7124815750172551
Viktor,0.7073436262666681
Kayle,0.7040920391676446
Karma,0.7015546086393165
Ryze,0.6974730720014517
Galio,0.6934250327672613
Garen,0.6905533761607501
Heimerdinger,0.6747609761714861
Smolder,0.6724516520922961
Shen,0.6698463919053044
Aatrox,0.6606000701204676
Vladimir,0.6571532695973655
Olaf,0.6559117666921253
Nasus,0.6475978189589617
Trundle,0.6364139241503659
Mordekaiser,0.6287918536298798
Maokai,0.6196205477275576
Rumble,0.6150236419886481
Swain,0.5837462913613545
Gangplank,0.5814444652760904
DrMundo,0.572011810479311
Quinn,0.5503350533639249
TahmKench,0.509853850363179
Sion,0.482160197065169
