partner,score
Sylas,1.0660557142727924
Nasus,0.9918289035204534
Galio,0.9788133627643099
Ornn,0.9749747595797053
Rengar,0.9231493404093848
Jayce,0.9109221010462367
DrMundo,0.9091472226936563
Kled,0.9040721645415959
Karma,0.8894645079873673
ChoGath,0.888533407733205
Gragas,0.8822621271396662
Malphite,0.8819584402264236
Irelia,0.8754294508849951
Akali,0.8717944778909359
Pantheon,0.8682418808577279
Sion,0.864723172975555
Aurora,0.8632127009666218
Gnar,0.8551543390265617
Ryze,0.8496692810435669
Quinn,0.8461167573092218
TahmKench,0.8438856334155113
Tryndamere,0.8428231515685163
Cassiopeia,0.835262871234874
Ambessa,0.831457730572719
Vladimir,0.8286004109265842
Maokai,0.8270065125266192
Urgot,0.825592082622018
Viktor,0.8251690178922402
Yorick,0.822987175530718
Zac,0.8160650892477588
Yasuo,0.809453146564368
Illaoi,0.8046567557657327
Poppy,0.8001718100990824
Smolder,0.7950588225869173
Riven,0.7940182250577797
Olaf,0.791525698980576
Aatrox,0.7884027746354377
Gangplank,0.7801294594090066
Shen,0.7798955955935969
Kennen,0.7794722025434989
KSante,0.779414573841205
Teemo,0.7782888487911412
Garen,0.7604870771786527
Renekton,0.7586130186485527
Rumble,0.7552583004354161
Trundle,0.7508177151545272
Volibear,0.7499621311537069
Varus,0.7392655767221954
Heimerdinger,0.739083023304723
Wukong,0.7320464324738207
Camille,0.7221179870229182
Yone,0.7035995574379423
Sett,0.703587599216593
Fiora,0.6976365365662478
Udyr,0.696310394914396
Mordekaiser,0.6872992016286621
Warwick,0.6763042452656332
Swain,0.6609453143337694
Gwen,0.6596823339285957
Jax,0.6558579645332697
Vayne,0.6488030240235481
Kayle,0.6472482247253749
Singed,0.604361973600883
