partner,score
Volibear,0.9946032460990124
Tryndamere,0.9654381481758973
Warwick,0.9639417605364129
Wukong,0.9322649260353344
Darius,0.9091472226936563
Camille,0.9043551662585394
Renekton,0.8999147948677939
Pantheon,0.895271239000629
Malphite,0.8933026836486291
Sett,0.8838130753908733
Kled,0.8642271807027951
Gnar,0.8557309456607908
Akali,0.8448697981742096
Gragas,0.8326793484084838
Ambessa,0.8309078095043106
Kennen,0.8300604105241041
Riven,0.825066221397662
Fiora,0.8231874982452203
Varus,0.820698195130568
Jax,0.8200420530047443
Udyr,0.8199351965909351
Poppy,0.8199261771522374
Yone,0.8115094609554203
Jayce,0.8035849126774788
Urgot,0.8023133266193959
Cassiopeia,0.8019197507010041
Garen,0.7997892099842021
Irelia,0.7989854151861725
Illaoi,0.7970525203990936
Vayne,0.7932718940371366
Rengar,0.7679504290073694
Singed,0.7666344470351032
Teemo,0.7612974242388334
Zac,0.7535231180711722
Galio,0.7522810365368237
Gwen,0.7517403177764621
Sylas,0.7462014650459875
Shen,0.7425300198437562
Aurora,0.7410573292323451
Trundle,0.7398716715479448
Gangplank,0.7389240734116345
Yasuo,0.7384514436096272
Karma,0.7185131911017033
Yorick,0.7170295551168739
Olaf,0.716861620560779
Kayle,0.7069411168980724
Heimerdinger,0.6928965423706595
Aatrox,0.690453549604922
Nasus,0.6890037764620878
Maokai,0.6825434777581791
Ornn,0.6817353737205412
Smolder,0.6772152941991847
Vladimir,0.671522821599287
Viktor,0.6617539469619933
KSante,0.6423702410712476
Quinn,0.6386745291791475
Rumble,0.6326945042499924
Mordekaiser,0.6212306120430382
Sion,0.6166528132279486
Ryze,0.6033760171459688
TahmKench,0.5930156230501462
ChoGath,0.572011810479311
Swain,0.5716782251079178
