partner,score
Nasus,0.9065160354943643
Sylas,0.8924146882637163
Galio,0.8822444724986829
Ryze,0.8596786863381908
Ornn,0.8569593682452817
Cassiopeia,0.8469069513860941
Malphite,0.8388086150447178
Gragas,0.8304705127190131
DrMundo,0.8231874982452203
Gnar,0.8220244717392413
Zac,0.8145717532565842
Volibear,0.8145090827696753
Kled,0.814318801246265
Aurora,0.8142605206955867
Camille,0.8106766617218957
Rengar,0.8079818751894988
Yorick,0.8030523994286949
Ambessa,0.7951735521283075
Jayce,0.7937509661002734
TahmKench,0.7870730028546279
Renekton,0.7856229577357758
Illaoi,0.7855986626132936
Gangplank,0.7836664211741488
ChoGath,0.7724667065861045
Tryndamere,0.7702830613492164
Akali,0.7699410006121828
Vladimir,0.7679465708764739
Teemo,0.7638877450822452
Pantheon,0.7620439100009211
Wukong,0.7568360886721748
Quinn,0.7499522002239959
Shen,0.748660902887785
Sett,0.747864589307702
Viktor,0.7427761471151256
Sion,0.7394161681577485
Rumble,0.7345575785876681
Poppy,0.7318628232153597
Olaf,0.7247839438755344
Mordekaiser,0.7216206088559374
Aatrox,0.7163594542372954
Maokai,0.715888414976105
Warwick,0.7139945346774873
Urgot,0.7093011879277906
Karma,0.7083106670349131
Irelia,0.7064348112977319
Kennen,0.7038230522378557
Trundle,0.7032495789012445
Smolder,0.7018138686326294
Varus,0.6995241141974338
Darius,0.6976365365662478
KSante,0.6761222847544921
Riven,0.6758598517933638
Swain,0.6752868677725995
Vayne,0.6735316205631463
Yone,0.6640350196230007
Gwen,0.6571371233428565
Udyr,0.6486337642712547
Heimerdinger,0.6473447497478753
Jax,0.6237165735789033
Kayle,0.6221665527266108
Yasuo,0.6039322577690915
Garen,0.5900534416476579
Singed,0.5522294927688779
