partner,score
Fiora,1.1132464375723587
Camille,1.1054658531101909
Kayle,1.1034749036146805
Sett,1.0981242958846098
Aatrox,1.0963775953400607
Zaahen,1.095093844163321
Ambessa,1.0881852370890548
Smolder,1.0845931651313137
Volibear,1.0827663305367314
Nasus,1.068968900031916
Gnar,1.0679637861741806
Pantheon,1.0658148396070135
Tryndamere,1.0621773877078418
Renekton,1.0606349380418305
Shen,1.0495075806061598
Trundle,1.0491445927032566
Vayne,1.0395805183666187
Jayce,1.028481345375376
Gangplank,1.0265647445203552
Darius,1.0202802954824366
Poppy,1.0200704757103993
Kled,1.01609402522596
ChoGath,1.0070030164945714
Quinn,1.0065880898621824
Yone,1.0011694987229454
Urgot,1.000024911984786
Ornn,0.9967093281022701
Ryze,0.9943089169018396
Irelia,0.9939572619497686
Rumble,0.9932255494459202
Varus,0.9876156833557875
Wukong,0.9871411078661853
Gwen,0.986094532612597
Singed,0.9836766699247785
TahmKench,0.9824917739407641
Gragas,0.9793487170088561
Kennen,0.9769533141816171
Yorick,0.9752027001267068
Akali,0.9749876248529076
Vladimir,0.9733703066860413
Garen,0.9694562519003624
Swain,0.9692947700907565
Warwick,0.9668857071107712
Malphite,0.9641339511949686
KSante,0.9611996716351789
Mordekaiser,0.9555896568020524
Riven,0.9555612664639713
Aurora,0.955159413070421
Udyr,0.953895443825176
Teemo,0.9417993404480444
Heimerdinger,0.9356523245084885
Jax,0.9347808814605655
Cassiopeia,0.9326905122724762
Illaoi,0.9254855199008366
Sylas,0.9217600237043515
Olaf,0.9106106009450216
Viktor,0.9092842552421156
Maokai,0.907024285047962
Sion,0.8965122695185384
Yasuo,0.8887260725040899
DrMundo,0.8552298519117739
Rengar,0.8283540022683337
Karma,0.8204942309988333
Zac,0.7723424100080252
