partner,score
Kled,0.8898087263359236
Ambessa,0.8631637410969628
Gwen,0.8549607865595525
KSante,0.8492660008447244
Tryndamere,0.836920918947806
Yone,0.8019982657730107
Ornn,0.8013579151178186
Riven,0.7965986745351081
Sylas,0.7908228155488121
Yasuo,0.790200653996486
Vayne,0.786444324496197
Fiora,0.7836664211741488
Gnar,0.7807652092485781
Darius,0.7801294594090066
Kayle,0.7745380768341266
Udyr,0.7702755547540227
Aatrox,0.7645441548204728
Galio,0.7544503988114005
Irelia,0.7394579201788919
Volibear,0.7393122383478606
DrMundo,0.7389240734116345
Pantheon,0.7255842281220031
Olaf,0.7241524152194423
Zac,0.7226237981150605
Smolder,0.7203451262613287
Mordekaiser,0.7187076768886733
Trundle,0.7081623709409941
Viktor,0.7077352290194598
Illaoi,0.7021169267637302
Akali,0.7005642943993083
Gragas,0.6901401067003123
Camille,0.6896388230282426
Aurora,0.6855238117061861
Ryze,0.6829643908152325
Garen,0.6813126422395634
Heimerdinger,0.6777540798174855
Shen,0.6729996717375024
Warwick,0.6698950415787337
Karma,0.6643664819962987
Singed,0.6641216678275645
Urgot,0.6633518757907395
Poppy,0.6617158160570302
Yorick,0.6597712972158047
Jayce,0.6576494770168408
Sett,0.6525035102066079
Varus,0.6496547154588533
Wukong,0.6445173315433677
Jax,0.6329437680237777
Renekton,0.6305883750728147
Rengar,0.6272237898121069
Cassiopeia,0.6195288835863856
TahmKench,0.6134520712240412
Maokai,0.5953638585394492
Kennen,0.5861240039038265
Teemo,0.5829820125005578
ChoGath,0.5814444652760904
Nasus,0.5762240379639816
Vladimir,0.5632276606442677
Swain,0.5622688917739611
Sion,0.5588180500052091
Malphite,0.5534112381205394
Quinn,0.5388755678193413
Rumble,0.5112237534083321
