partner,score
Gnar,0.9214001203374655
Jayce,0.9108591599544242
Sylas,0.8964548880831187
Gragas,0.8919429195118354
Cassiopeia,0.8828267489274135
Aurora,0.8814689368601261
Volibear,0.868092868954385
Ryze,0.84640532719886
Yorick,0.8463469506487843
Pantheon,0.8376016372935617
Akali,0.8370132304738591
Malphite,0.8368135284252505
Kennen,0.8344897420525361
Quinn,0.8267530526077759
Viktor,0.8192308831744489
Kled,0.8166678102826387
Tryndamere,0.8116019515112681
Teemo,0.808874066970196
Ambessa,0.8052051714046355
Vayne,0.8030646367530695
Ornn,0.8028163162756704
Wukong,0.8017150024088149
Camille,0.8012434006349597
DrMundo,0.7997892099842021
Smolder,0.799063930766712
Nasus,0.7977235751497309
Sett,0.7952023901610867
Karma,0.7941301300591641
Zac,0.7936467400364047
Galio,0.7877205611390433
Varus,0.7849664435675313
Heimerdinger,0.7710256012030925
Kayle,0.7704509910890748
Rengar,0.7667901614992008
Darius,0.7604870771786527
Vladimir,0.7603054495331552
TahmKench,0.7543737364276861
Irelia,0.7536069681806039
Renekton,0.7525832186060674
Sion,0.751488637957201
Yone,0.7452295704771621
Yasuo,0.7378638454702434
Jax,0.7368727758879468
Riven,0.7314106432309204
Urgot,0.7291754961687431
Olaf,0.7279717916101978
Aatrox,0.7277252531459257
Rumble,0.7260398715093801
Maokai,0.7201558413586939
Gwen,0.7199945631603946
KSante,0.7114007347058141
Poppy,0.7072148493656885
Shen,0.6942921603159764
ChoGath,0.6905533761607501
Warwick,0.6901033790396212
Udyr,0.6886566462668906
Mordekaiser,0.6848076804984065
Gangplank,0.6813126422395634
Trundle,0.6735101214871287
Illaoi,0.6467038418046955
Swain,0.6313962388211045
Fiora,0.5900534416476579
Singed,0.5539280478992823
