partner,score
Gwen,0.9082742330533391
Sett,0.9034224065737133
Galio,0.9031885402570817
Yone,0.9002932108043763
Riven,0.898985401038743
Garen,0.8919429195118354
Shen,0.8858623039749713
Darius,0.8822621271396662
Irelia,0.8811771100659276
Tryndamere,0.8806620263567683
Illaoi,0.8771683543909138
Poppy,0.8703873792749133
Trundle,0.8687203528309543
Camille,0.8656434646765653
Ambessa,0.8623120291751122
Smolder,0.8550638385769601
Udyr,0.8489459675083696
Rengar,0.8465882248770835
Yasuo,0.8379114221102347
Nasus,0.8356125782962864
DrMundo,0.8326793484084838
Fiora,0.8304705127190131
Gnar,0.8283101050819881
Olaf,0.827315376201798
Renekton,0.826470905802042
Kled,0.8237237981483881
Sylas,0.8230585055439823
Varus,0.8180237268678725
Zac,0.8059248399986907
Volibear,0.8023846663571779
Swain,0.8014543855560303
Singed,0.7985042731643082
Wukong,0.7927014087254276
Kayle,0.7889259431155398
Yorick,0.7818621365530722
Maokai,0.7745811458166282
Ornn,0.7673580617717121
Mordekaiser,0.7593542492257703
Teemo,0.7564437875594554
Warwick,0.7558220710574526
Ryze,0.7536336441097106
Vayne,0.7401742637575963
KSante,0.7379314413686184
Viktor,0.7310516456016642
Heimerdinger,0.7252813809944922
ChoGath,0.7207465464475415
Aatrox,0.7198193701994178
Akali,0.7139809456213309
Pantheon,0.7098602027998899
Sion,0.7092147117416355
Jayce,0.708842568876306
Vladimir,0.7085634411187812
Aurora,0.7070427489316555
Gangplank,0.6901401067003123
Malphite,0.6874784726695351
Urgot,0.6870287859673393
Jax,0.6844819395986369
Rumble,0.6783369763065942
Karma,0.6760209907869346
Kennen,0.6713957661691472
Cassiopeia,0.6449984455662183
Quinn,0.643515903426116
TahmKench,0.6043745421973112
