partner,score
Vladimir,1.061217527768408
Malphite,1.0387489045711593
Kennen,1.0321501595387053
Pantheon,1.0281272779073083
Urgot,1.0268875699129683
Warwick,1.0120408232092808
Renekton,1.01094220495473
Quinn,1.0101010005142348
Gnar,0.997600541028746
Camille,0.9930739282778771
Nasus,0.9919308600137169
Wukong,0.9864412362301311
Galio,0.986094532612597
Gangplank,0.9847286481119228
Jayce,0.9839069490298726
Akali,0.9633894958481484
Ryze,0.9606854020102586
Ambessa,0.9559734556240226
ChoGath,0.9557200864372025
Garen,0.9453229962947484
Sett,0.945228584631531
Tryndamere,0.9451654525603873
Cassiopeia,0.9418231713206375
Zaahen,0.9398250094102512
Teemo,0.9344452136555395
Olaf,0.9296309788106342
Shen,0.9278637755952935
Poppy,0.9274746053105505
Gragas,0.9258614622756339
Trundle,0.918058963168827
Aatrox,0.9137405909219389
Volibear,0.9079316700819893
Fiora,0.905658918693699
Darius,0.9015858020427815
Jax,0.8932194913769806
Swain,0.8919705264378531
Rumble,0.891767899052193
Maokai,0.8915227233136942
Aurora,0.88572964643156
DrMundo,0.8853834766219068
Irelia,0.8840147072275045
Ornn,0.8805724694248758
Sylas,0.8774024155321278
Riven,0.8759697264534373
Yasuo,0.8719768874774546
TahmKench,0.8627421332920034
Vayne,0.8601829638029727
Singed,0.8589139077020653
Kled,0.8548016556155965
Zac,0.8496839230801494
Udyr,0.847614973788969
Sion,0.8446230700835727
Heimerdinger,0.8362260081240027
Illaoi,0.8291060580671827
Kayle,0.8282899462581939
Viktor,0.8282048116196996
Karma,0.8083724606360954
Varus,0.8033978196097927
Smolder,0.8013494831971275
Yorick,0.7949529113096949
Rengar,0.7832385371686005
KSante,0.7826261372475978
Mordekaiser,0.7419122417124558
Yone,0.7249924258016748
