partner,score
Kled,0.9212033844884512
Tryndamere,0.8829500220162625
Shen,0.854290214213058
Trundle,0.8376806449245211
Irelia,0.8293434056739961
Volibear,0.8241419963414274
Camille,0.823067452794588
Zac,0.8220218803738415
Sett,0.8107057617967826
Gnar,0.8014269138303239
Galio,0.7963221290897577
Aatrox,0.7934063815965253
Pantheon,0.7891152429731323
Sylas,0.7797446769889838
Wukong,0.7789011026114685
Ambessa,0.7771154059396372
Rengar,0.7739227143376832
Garen,0.7710256012030925
Olaf,0.7651444329746546
Warwick,0.7592575679087832
Mordekaiser,0.7516228559979301
Maokai,0.7511200394451452
Malphite,0.7463180313382368
Darius,0.739083023304723
Smolder,0.738547628728601
Ornn,0.7328583917312153
Gragas,0.7252813809944922
Udyr,0.7246625353629165
Riven,0.7235650688380018
Nasus,0.712974960585073
Sion,0.7087075388705992
KSante,0.7064748452265563
Gwen,0.7039618592683452
Illaoi,0.7028649646283833
Akali,0.6995349188839626
DrMundo,0.6928965423706595
Renekton,0.6928405952176704
Yone,0.6873182031923706
Poppy,0.6857387187010877
Gangplank,0.6777540798174855
ChoGath,0.6747609761714861
Kayle,0.6719916192495728
Swain,0.6717157226790682
Singed,0.6706444839898638
Vladimir,0.6684437384687754
Jax,0.6677413268691588
Jayce,0.6650634006920805
Cassiopeia,0.6642633835081582
Vayne,0.661568766394621
Quinn,0.6546525244388529
TahmKench,0.653170525126963
Karma,0.6500442434914149
Fiora,0.6473447497478753
Urgot,0.645310438153345
Aurora,0.6408420874644103
Varus,0.6342560885454335
Yasuo,0.6268360282347382
Kennen,0.6267506995770389
Yorick,0.6128816835569606
Teemo,0.6121193496795962
Viktor,0.605772401814743
Rumble,0.5892619035203626
Ryze,0.5839921443414022
