partner,score
Sylas,0.9657979238110642
Tryndamere,0.950251245936229
Irelia,0.9233620037416148
Galio,0.9104947819909949
Gnar,0.9002163587490881
Pantheon,0.898577107227567
Jayce,0.8864408546874644
Gragas,0.8771683543909138
Yone,0.8689790017356184
Kled,0.8635514322218627
Viktor,0.8608946407048528
Karma,0.8493931270312678
Yorick,0.8467815329338418
Rengar,0.8423931929988602
Yasuo,0.8417357244632251
Kayle,0.8410258122027798
Smolder,0.8408304472404524
Ryze,0.83838087274851
Cassiopeia,0.8333295876322296
Warwick,0.8294117728592191
Ambessa,0.8252041218465199
Wukong,0.8185879270422605
ChoGath,0.8184304060696934
Akali,0.8153012637050422
Urgot,0.8141275995104847
Sett,0.8065417136139594
Sion,0.80608167201657
Darius,0.8046567557657327
Aurora,0.8041495980630123
Riven,0.8019271243069382
Camille,0.7992653703965312
Ornn,0.7988746896945548
DrMundo,0.7970525203990936
TahmKench,0.7961665389511525
Volibear,0.7926517144178639
Kennen,0.7921092996022604
Vayne,0.7887779227413381
Quinn,0.7880162212729115
Fiora,0.7855986626132936
Varus,0.7827680304076287
Udyr,0.7812249916208206
Gwen,0.7803084820605386
Zac,0.7781794242512495
Olaf,0.7746730360286866
Malphite,0.7743249455590749
Trundle,0.7676300601164758
Vladimir,0.7593290285429151
Shen,0.7583054948614851
Singed,0.7554274068246611
Aatrox,0.7381870568508155
Nasus,0.7355888609237851
Rumble,0.7345283613526619
KSante,0.7306033938023797
Teemo,0.7187137386581031
Jax,0.7044504505938676
Heimerdinger,0.7028649646283833
Gangplank,0.7021169267637302
Mordekaiser,0.6946617299929176
Maokai,0.6944853011621884
Renekton,0.6874149504048183
Swain,0.6833964568975737
Poppy,0.6672833453699895
Garen,0.6467038418046955
