partner,score
Illaoi,0.9233620037416148
Kled,0.9020804725712557
Ryze,0.8953338842644647
Gnar,0.8878711320416056
Gragas,0.8811771100659276
Darius,0.8754294508849951
Aurora,0.8716739562582729
Vladimir,0.8649310408455063
Akali,0.8325394091400983
Heimerdinger,0.8293434056739961
Teemo,0.8288812033115223
Poppy,0.8244948860727865
Vayne,0.8210815131458495
Volibear,0.8174448109649375
DrMundo,0.7989854151861725
Renekton,0.7913871082968955
Maokai,0.7878005880535298
Rumble,0.7819512509500078
Urgot,0.7806930335804461
Udyr,0.7757623963811092
Ornn,0.7709558447130513
Swain,0.758978147717674
Pantheon,0.7585761166909138
Cassiopeia,0.7556535243043837
Garen,0.7536069681806039
Kayle,0.7507131477057178
Smolder,0.7506715462787317
Quinn,0.7495487742237347
Kennen,0.7474487816929927
Aatrox,0.7469243918329178
Ambessa,0.7455603673136781
KSante,0.7419571016526991
Gangplank,0.7394579201788919
ChoGath,0.7369415247790956
Jayce,0.7356506355195447
Singed,0.7330781326677848
TahmKench,0.7283104259967503
Sylas,0.7282483940582772
Malphite,0.7268438054855559
Camille,0.726838328490189
Mordekaiser,0.7225331053755883
Warwick,0.7207903213699534
Nasus,0.7202174250257534
Shen,0.7114338265926207
Fiora,0.7064348112977319
Sett,0.7063332440044632
Riven,0.7028081159884885
Varus,0.7014190853635234
Olaf,0.6891227674948861
Jax,0.6865975110981685
Galio,0.68633950440839
Gwen,0.6785099550140512
Trundle,0.6777379443356558
Tryndamere,0.6760804893883887
Viktor,0.6699478406585744
Rengar,0.6535253942593147
Sion,0.6293125335211847
Wukong,0.6292588904997842
Yone,0.6151090484713092
Karma,0.605269680480636
Yorick,0.5964388793410289
Zac,0.5928230245089907
Yasuo,0.4354002625150095
