partner,score
Kled,0.8638911318575474
Sylas,0.8545238628255818
Galio,0.8315233492173149
Ambessa,0.8232166584734022
DrMundo,0.8200420530047443
Ryze,0.8037575536219405
ChoGath,0.8028485188270619
Urgot,0.8020618511892847
Aurora,0.7850769580633061
Sion,0.7773666587404313
Shen,0.7755732144531529
Yorick,0.7661097842059813
Gnar,0.7630970758791655
Vladimir,0.7591118484177373
Olaf,0.7519784166219075
Garen,0.7368727758879468
Rengar,0.7351224024158587
Jayce,0.7333100267349885
Tryndamere,0.7270514773676677
Quinn,0.7229526965994384
Mordekaiser,0.7205486226275146
Smolder,0.7193931853751575
Ornn,0.708646308359552
Illaoi,0.7044504505938676
Maokai,0.704044957936756
Poppy,0.698400021209894
Camille,0.6943331806470919
Nasus,0.6910724518503706
Rumble,0.6898697896244047
Irelia,0.6865975110981685
Gragas,0.6844819395986369
Aatrox,0.6754504308687495
Heimerdinger,0.6677413268691588
Swain,0.6593777469091089
Yone,0.6588903308657001
KSante,0.6586775848995887
Darius,0.6558579645332697
Varus,0.6548852851616976
Sett,0.6514523460643848
Teemo,0.6411586126357711
Cassiopeia,0.6397113897660074
Karma,0.6355656303045614
Gangplank,0.6329437680237777
Kayle,0.6316111318750526
TahmKench,0.6298006492438761
Gwen,0.6255231944998432
Akali,0.6237392047363723
Fiora,0.6237165735789033
Yasuo,0.6176961568973817
Udyr,0.6134372230123201
Volibear,0.6130892723816322
Trundle,0.6056404389954781
Vayne,0.5913110580383768
Malphite,0.5851295877765283
Riven,0.5584339618506525
Viktor,0.5553242157470981
Singed,0.5508918500639524
Zac,0.5502943540776261
Pantheon,0.5484239695449377
Kennen,0.5382311056172642
Warwick,0.5210363199625548
Wukong,0.5129338418374143
Renekton,0.5046348714232254
