partner,score
Gwen,0.9219099532730981
Galio,0.9204613202840599
Volibear,0.9133924361339756
Darius,0.9109221010462367
Garen,0.9108591599544242
Olaf,0.9070516770389144
Kled,0.9067432329716549
Camille,0.9031876550475051
Udyr,0.8959560819399822
Illaoi,0.8864408546874644
Zac,0.8700163839707684
Shen,0.86605797183732
Sylas,0.8641488266581805
Yone,0.8627772858985795
Poppy,0.8604020660475231
Trundle,0.8563421784692671
Sett,0.8516098988318027
Tryndamere,0.8478569963239784
Singed,0.843380953242538
Ornn,0.8387203374198617
KSante,0.8381988201897987
Maokai,0.8323321516330475
Mordekaiser,0.8270354499517559
Renekton,0.8230882730001594
Ambessa,0.8204302825193537
Nasus,0.8199697486081322
DrMundo,0.8035849126774788
Warwick,0.803387224098213
Smolder,0.801101161508841
Fiora,0.7937509661002734
Riven,0.7927765536988437
Sion,0.7840131797403613
Swain,0.7735896024062577
ChoGath,0.767942993695631
Wukong,0.7654516525416537
Aatrox,0.7521876638503997
TahmKench,0.751307080736518
Yorick,0.7491032889595228
Rengar,0.7433957010963108
Irelia,0.7356506355195447
Jax,0.7333100267349885
Vladimir,0.71481540721691
Gragas,0.708842568876306
Kayle,0.7068927979765685
Vayne,0.7048476853866419
Akali,0.702065337380437
Malphite,0.7001219540682615
Yasuo,0.6994317006490312
Ryze,0.6928867801305634
Pantheon,0.691118137154307
Urgot,0.6729718060521309
Gnar,0.6698985353681814
Heimerdinger,0.6650634006920805
Teemo,0.6631945284028796
Aurora,0.6613109469140774
Gangplank,0.6576494770168408
Cassiopeia,0.6531370055325335
Karma,0.6397558265319712
Rumble,0.6376487837358366
Viktor,0.6249736508769026
Varus,0.6095403657183489
Quinn,0.590044790020413
Kennen,0.5651889656403571
