partner,score
Darius,0.8894645079873673
Kled,0.865629768883541
Poppy,0.8565942623469418
Illaoi,0.8493931270312678
Galio,0.8341378694084901
Renekton,0.8264096822668536
Camille,0.8205949267879445
Volibear,0.8154980407103338
Tryndamere,0.8022386675016522
Garen,0.7941301300591641
Udyr,0.7899524312896407
Gwen,0.7884611198147607
Warwick,0.7883829574817947
Gnar,0.7802955756648725
Ambessa,0.7650872549610839
Maokai,0.7637676864736851
Sett,0.7634812197723495
Zac,0.755051966009584
Shen,0.7542822074091435
Sylas,0.7515725704365439
Nasus,0.7491936610059532
Urgot,0.7432545830693917
Riven,0.7421368313055763
Mordekaiser,0.7346752392266926
Vayne,0.7345696463324987
Olaf,0.7335969468032137
Aatrox,0.7319121547589073
Singed,0.7204576121670083
Ornn,0.7199489304762225
DrMundo,0.7185131911017033
Akali,0.7143521493956977
KSante,0.7135028515779865
Fiora,0.7083106670349131
ChoGath,0.7015546086393165
Swain,0.6930244218786019
Cassiopeia,0.6912485139122282
Rengar,0.6895120481669377
Ryze,0.6862300927958881
Pantheon,0.6778350132786974
Gragas,0.6760209907869346
Teemo,0.6737684026225876
Malphite,0.6693712555451434
Wukong,0.6661633456650438
Yone,0.665125277201613
Gangplank,0.6643664819962987
Aurora,0.661934329151534
Varus,0.6509009807048003
Heimerdinger,0.6500442434914149
Smolder,0.6492098754394605
Trundle,0.6471108193379146
Jayce,0.6397558265319712
Sion,0.637686174364261
Jax,0.6355656303045614
Kennen,0.6132481527176442
Quinn,0.6075177950606003
Irelia,0.605269680480636
Rumble,0.6032169528852183
Kayle,0.6029837360262075
TahmKench,0.6016262863955427
Yorick,0.600855449615389
Vladimir,0.5982025846155785
Viktor,0.5937581841591256
Yasuo,0.5337012105472145
