partner,score
Sylas,0.9831015534330092
Galio,0.9294829377816691
Kled,0.9243074040076923
Nasus,0.8894476161644946
Zac,0.8679272829624738
Poppy,0.8614402056600494
Rengar,0.8436852825594561
Illaoi,0.8410258122027798
Malphite,0.8356845802866488
Ornn,0.8064563559096927
Shen,0.8042369632661184
Gragas,0.7889259431155398
Renekton,0.7849719557354291
Akali,0.7805739670901437
Gangplank,0.7745380768341266
Volibear,0.7741131661159245
Garen,0.7704509910890748
Urgot,0.7689605595992886
Warwick,0.7689593804955539
Olaf,0.7645908682868297
KSante,0.7640629578788102
Tryndamere,0.7545394173246303
Sion,0.7536444636572164
Irelia,0.7507131477057178
Teemo,0.749687497997242
Cassiopeia,0.7477775801398256
Yorick,0.7410857380446423
Ambessa,0.7352831967409804
Pantheon,0.7316460101373727
Gnar,0.7300527489717656
Camille,0.72574590409931
Maokai,0.724578595223029
Vladimir,0.7195713844289935
TahmKench,0.7174458500279965
DrMundo,0.7069411168980724
Jayce,0.7068927979765685
ChoGath,0.7040920391676446
Ryze,0.6978030096891021
Yasuo,0.6955617098116567
Aurora,0.6910813129553262
Riven,0.6874368226029386
Aatrox,0.6853957275578644
Udyr,0.6841201066449274
Kennen,0.6758834050495697
Heimerdinger,0.6719916192495728
Sett,0.6636092653001244
Wukong,0.6534483769246106
Darius,0.6472482247253749
Rumble,0.6414642223257165
Swain,0.6347361700228101
Quinn,0.6330000135115225
Jax,0.6316111318750526
Mordekaiser,0.6253294686082287
Yone,0.6231719288887658
Fiora,0.6221665527266108
Singed,0.6125489911677416
Karma,0.6029837360262075
Gwen,0.598471743344926
Viktor,0.5975930824331335
Varus,0.5829970702530551
Trundle,0.5323236308646443
Vayne,0.5040317699628453
Smolder,0.46868669329978824
