partner,score
Camille,1.0364572825874623
Gwen,1.0321501595387053
Sylas,1.004110243486468
Zaahen,0.9902956267730442
Nasus,0.9859935735023835
Kled,0.9852483247917013
TahmKench,0.9844336610752843
Galio,0.9769533141816171
Trundle,0.974640970197574
Ornn,0.9667906305427865
Ambessa,0.9610144758986596
Sett,0.9608427985261621
Olaf,0.9473277025039358
Shen,0.941817736351278
Darius,0.93707254357125
Mordekaiser,0.9358520166260624
Irelia,0.9345469844151477
Illaoi,0.9339692155119652
KSante,0.9317564836169376
Zac,0.9271807279469626
Aatrox,0.9261565585199931
Garen,0.9248374947108713
Gragas,0.9245014682577305
Sion,0.9217401489716476
Yorick,0.9184907243470086
ChoGath,0.9097835422341941
Renekton,0.9085941784875006
Swain,0.9009775315055755
Pantheon,0.900777419539416
Smolder,0.8959082728920846
Ryze,0.8932806834748834
Yone,0.8902472809538033
Volibear,0.8876726552446637
Akali,0.8874999995453552
Viktor,0.8826551176874557
Poppy,0.8782469500201603
Wukong,0.8705248789019617
Warwick,0.869130299700936
Rengar,0.8622337934908944
Varus,0.8581566298176442
Gangplank,0.8565009657140666
Jax,0.8482634407568985
Rumble,0.8480226000649733
Fiora,0.834227783406581
DrMundo,0.8169198209705258
Singed,0.8086128328323312
Gnar,0.8041999905442427
Urgot,0.8016055165686766
Tryndamere,0.7998843920255068
Teemo,0.7905229939971121
Jayce,0.7851276687499158
Vladimir,0.7837136847223469
Udyr,0.7833425867351967
Malphite,0.7822248725578755
Yasuo,0.776820100226702
Riven,0.7732328288341112
Cassiopeia,0.7709857554916885
Kayle,0.7701788466149466
Quinn,0.7605070846974159
Aurora,0.7554710646725955
Karma,0.7515147543490311
Maokai,0.7239249111276678
Vayne,0.7203649615213933
Heimerdinger,0.702850382575314
