partner,score
Galio,1.0170046584460382
Smolder,0.9676812126952573
Sylas,0.9655315827975349
Viktor,0.9631865838445188
Wukong,0.9488726996581359
Rengar,0.9486846918013034
Sett,0.9432764689117265
Varus,0.9414570215310178
Aurora,0.9328807245678561
Kayle,0.9243074040076923
Heimerdinger,0.9212033844884512
Ambessa,0.9172744067511538
Ryze,0.914970927610701
Yone,0.9145939711889393
Vladimir,0.9094601933748241
Jayce,0.9067432329716549
Tryndamere,0.9064955165227414
Kennen,0.9049076031656325
Darius,0.9040721645415959
Volibear,0.9036533281136147
Irelia,0.9020804725712557
Teemo,0.9008254709482699
Gnar,0.8996845447100128
Udyr,0.8945625590404791
Gangplank,0.8898087263359236
Renekton,0.8893255499311079
Malphite,0.8888881140499882
Camille,0.888884207486772
Cassiopeia,0.8845669925018897
Riven,0.8845529355586942
Yasuo,0.882245088879216
Poppy,0.8807771238627551
Ornn,0.8685323855058034
Nasus,0.8657833059847321
Karma,0.865629768883541
Akali,0.8644897295007977
DrMundo,0.8642271807027951
Jax,0.8638911318575474
Illaoi,0.8635514322218627
Yorick,0.8622640006451224
Sion,0.8611662472616548
Warwick,0.8598478838231592
Vayne,0.8560498798660048
Trundle,0.8513234171130513
Quinn,0.848954286026488
Gwen,0.8434298651077291
Rumble,0.8429858512620888
Pantheon,0.8296506417502968
Gragas,0.8237237981483881
Swain,0.8233767451709522
ChoGath,0.8225725418697336
Olaf,0.820068976831116
Garen,0.8166678102826387
Fiora,0.814318801246265
TahmKench,0.8121358393646518
Shen,0.8115500617894289
Urgot,0.8077546734680315
Zac,0.7880958973023269
Maokai,0.7834222134068767
KSante,0.7792575706338374
Mordekaiser,0.7770760944052475
Singed,0.77668111067458
Aatrox,0.7758374856595933
