partner,score
Gnar,0.9262620513111579
Camille,0.8838739769002937
Malphite,0.8722659468602754
Tryndamere,0.8643928323975651
Wukong,0.8625147593128286
Galio,0.8550152740071065
Pantheon,0.853039996410649
Varus,0.8500448249310535
Gangplank,0.8492660008447244
Sylas,0.844503533451078
Jayce,0.8381988201897987
Aurora,0.834074128657234
Vayne,0.8329526407511212
Cassiopeia,0.8269397656267294
Sett,0.8223760240853912
Teemo,0.819567931709902
Vladimir,0.816571491627071
Nasus,0.8108160203872691
Volibear,0.8095319912104647
Renekton,0.8079690887052642
Ambessa,0.8078875016052876
Kennen,0.8056442343402184
Smolder,0.7983301983576077
Warwick,0.7870435646454765
Yone,0.7861364190777
Rengar,0.7851716361296268
Maokai,0.7807041396302564
Riven,0.7800251448730151
Darius,0.779414573841205
Kled,0.7792575706338374
Ryze,0.7763173489026709
Akali,0.7697798229778838
ChoGath,0.766677536271438
Kayle,0.7640629578788102
Quinn,0.7565911677094759
Poppy,0.7439759060041868
Trundle,0.7429466366199801
Irelia,0.7419571016526991
Yorick,0.7417454344116601
Gragas,0.7379314413686184
Viktor,0.7371489381332467
Shen,0.7356514775896362
Illaoi,0.7306033938023797
Karma,0.7135028515779865
Garen,0.7114007347058141
Heimerdinger,0.7064748452265563
Urgot,0.7021838598477035
Rumble,0.7013158159085215
Swain,0.686243706691677
Olaf,0.6857145781096166
Fiora,0.6761222847544921
Udyr,0.6706628216052446
Zac,0.6691349106314987
Yasuo,0.6643727926545007
Sion,0.6620512534994906
Aatrox,0.6603237218936029
Jax,0.6586775848995887
Gwen,0.6572525659110123
Ornn,0.6442111136385484
DrMundo,0.6423702410712476
TahmKench,0.6279110242346437
Singed,0.623694691194633
Mordekaiser,0.5600484413328726
