partner,score
Ambessa,0.9355906825661751
Gwen,0.9265694070361495
Smolder,0.9238474092839768
DrMundo,0.8933026836486291
Sylas,0.8901392806916903
Yone,0.8896115032178289
Kled,0.8888881140499882
Darius,0.8819584402264236
Tryndamere,0.8799019298619332
Galio,0.8793086918139243
KSante,0.8722659468602754
Sett,0.8550341575522129
Mordekaiser,0.8489044999462403
Aatrox,0.8475195113263271
Gnar,0.8458159846999798
Olaf,0.8413622419440108
Fiora,0.8388086150447178
Garen,0.8368135284252505
Ryze,0.8361198673658427
Ornn,0.8360119937495153
Kayle,0.8356845802866488
Udyr,0.8314389646888778
Riven,0.8308251924153129
Volibear,0.8213528833121447
Varus,0.821066311326299
Vayne,0.8100694928928314
Shen,0.8014061607652054
Yorick,0.7933922905307502
Trundle,0.7892030024760783
Akali,0.785349085364631
Viktor,0.7846913032762948
Sion,0.7746716885245637
Singed,0.7744556781891824
Illaoi,0.7743249455590749
Zac,0.7679262135457008
Aurora,0.7632176235565584
ChoGath,0.7606663591062582
Rengar,0.7597138673053063
Yasuo,0.7505658663058418
Heimerdinger,0.7463180313382368
Rumble,0.7326970666848787
Swain,0.729522982506906
Urgot,0.7291143279872425
Irelia,0.7268438054855559
Warwick,0.7253495371543279
Camille,0.7241928250741168
TahmKench,0.7113413391770966
Pantheon,0.7066544011512419
Vladimir,0.7048257881282757
Maokai,0.7037438335395816
Jayce,0.7001219540682615
Gragas,0.6874784726695351
Poppy,0.6858792992339479
Quinn,0.6773912548806328
Karma,0.6693712555451434
Teemo,0.6618996919282005
Nasus,0.6587148206672455
Cassiopeia,0.6497132450163221
Wukong,0.6313675499683364
Renekton,0.6243517613541003
Kennen,0.5945110280411752
Jax,0.5851295877765283
Gangplank,0.5534112381205394
