partner,score
Tryndamere,0.9215759134967979
Pantheon,0.904289924008824
Gnar,0.8428243878398676
Sylas,0.8426779325928075
Udyr,0.842108334708354
Jayce,0.8323321516330475
Viktor,0.8306662104461644
Darius,0.8270065125266192
Cassiopeia,0.8045028629898929
Riven,0.8026703743050441
Kennen,0.800691787684721
Rengar,0.8002733617807041
Ambessa,0.7972451065986786
Singed,0.791336808694947
Ryze,0.7905751471966741
Varus,0.7902655278694659
Irelia,0.7878005880535298
Kled,0.7834222134068767
Aurora,0.7830026004547519
KSante,0.7807041396302564
Yone,0.7759110719316302
Gragas,0.7745811458166282
Gwen,0.7687497578530389
Karma,0.7637676864736851
Aatrox,0.757806311308804
Volibear,0.7559758792107701
Heimerdinger,0.7511200394451452
Zac,0.7489887722221256
Yasuo,0.7443875063858398
Vayne,0.7410793984004593
Urgot,0.7361381328651123
Ornn,0.7341693018952151
Olaf,0.7324056901829018
Yorick,0.7307927109153234
Kayle,0.724578595223029
Rumble,0.7237723466706458
Akali,0.7232507848540682
Garen,0.7201558413586939
Sett,0.7183644448081117
Poppy,0.7179770698005916
Fiora,0.715888414976105
Jax,0.704044957936756
Malphite,0.7037438335395816
Warwick,0.7001896987516765
Galio,0.6985567534830074
Illaoi,0.6944853011621884
Mordekaiser,0.6857297171467656
DrMundo,0.6825434777581791
Wukong,0.6814237320620217
Teemo,0.6722246440806819
Vladimir,0.6666855805247038
Camille,0.650289801998718
Sion,0.64901203907063
Trundle,0.6314634342780796
Smolder,0.6313629602091467
Shen,0.6290828556894662
ChoGath,0.6196205477275576
Swain,0.6195919479834046
Renekton,0.6134860639339286
Quinn,0.6131767903480507
Nasus,0.6016763136518948
Gangplank,0.5953638585394492
TahmKench,0.5756858931802276
