partner,score
Tryndamere,0.8835374903957484
Rengar,0.8780377412330216
Riven,0.8753020516657066
Ambessa,0.8746361497052256
Akali,0.8560195729340658
Malphite,0.8489044999462403
Gnar,0.8471250777156933
Jayce,0.8270354499517559
Kennen,0.8183981522436203
Camille,0.8166595796368628
Nasus,0.813211821199675
Sylas,0.8037876000264355
Pantheon,0.7978915841542491
Renekton,0.7865319068011438
Wukong,0.7843223877208249
Cassiopeia,0.7822856243929506
Kled,0.7770760944052475
Poppy,0.7663700273860103
Vladimir,0.7629865899077236
Aurora,0.7597608267689284
Gragas,0.7593542492257703
Heimerdinger,0.7516228559979301
Yone,0.748540369672557
Yasuo,0.7431321769347186
Galio,0.7429369285221176
Udyr,0.740847487068027
Vayne,0.7388084572554743
Karma,0.7346752392266926
Volibear,0.7332676706251713
Teemo,0.73206542093517
Irelia,0.7225331053755883
Fiora,0.7216206088559374
Jax,0.7205486226275146
Gangplank,0.7187076768886733
Ryze,0.7126109926555915
Ornn,0.7011398743864594
Zac,0.6952679546268472
Illaoi,0.6946617299929176
Varus,0.6912150733726641
Darius,0.6872992016286621
Yorick,0.6864504407516819
Shen,0.6859977701092101
Maokai,0.6857297171467656
Garen,0.6848076804984065
Warwick,0.6674794605719002
Urgot,0.6604174020858105
Quinn,0.6576943771153443
Viktor,0.64645728650864
Sett,0.6454493357902577
Smolder,0.6308655276001975
ChoGath,0.6287918536298798
Kayle,0.6253294686082287
DrMundo,0.6212306120430382
Olaf,0.6042063126709356
Singed,0.5870693087935445
Gwen,0.5831174560258814
Trundle,0.56217154306622
KSante,0.5600484413328726
Sion,0.5598776771794256
TahmKench,0.5548723817156629
Rumble,0.5394588173435947
Aatrox,0.5314181775082505
Swain,0.4709748191943913
