partner,score
Illaoi,1.0807541294990768
Galio,1.068968900031916
Darius,1.0450749028989266
Swain,1.037064717690317
Sylas,1.029166818840156
Yasuo,1.027667390130517
Kled,1.027548238437289
Poppy,1.0194590509215353
Aatrox,1.0159476640793588
Garen,1.0148175037688754
Ryze,1.01020564032078
Cassiopeia,1.0085885578911988
Zaahen,1.0066065324681728
Pantheon,1.0032626246087202
Gangplank,1.002369798403708
Renekton,1.0014362212340515
Gnar,1.0007472633686936
Riven,0.9994390338956621
Tryndamere,0.9985050520436471
Gwen,0.9919308600137169
Sett,0.9864606179900899
Kennen,0.9859935735023835
Camille,0.9839422397574137
Ambessa,0.9814565837809421
Volibear,0.9781781673545086
Jax,0.9774322917817168
Shen,0.9748664826089016
Vladimir,0.9743143446278137
Warwick,0.967939185814522
Wukong,0.9645640641872363
Yone,0.9634032702090696
Irelia,0.9601929849350702
KSante,0.9561450500700888
Urgot,0.9549674834278282
Jayce,0.9511850738296951
Vayne,0.9473951573981412
Karma,0.9471664892355542
Fiora,0.946970892144946
Viktor,0.9365819844994069
Rumble,0.9358621068768469
Akali,0.9335983182440357
ChoGath,0.9217298624980521
Olaf,0.9153156574989764
Mordekaiser,0.9108293203442621
Aurora,0.9074827295228746
Varus,0.906237356058069
Gragas,0.9042390194040659
Heimerdinger,0.8994592343172402
Trundle,0.8965405527608684
Singed,0.8840348149850743
Kayle,0.8834318637402592
Smolder,0.8819247982025344
Teemo,0.8815544015205001
Zac,0.8781035082552429
Malphite,0.8764550470509584
Yorick,0.8705820090080627
Rengar,0.8633090874108177
Maokai,0.8620721005013854
Quinn,0.8508195538003507
Sion,0.8145453443117898
Udyr,0.7897616871370365
DrMundo,0.7814195947215397
Ornn,0.7786354193514632
TahmKench,0.7646843623563203
