partner,score
Gnar,0.9658319512233706
Akali,0.9505345407646908
Ambessa,0.9316743275428616
Jayce,0.9070516770389144
Aurora,0.882892985715507
Riven,0.8608791015743185
Pantheon,0.8604769946647499
Wukong,0.8576972902007132
Kennen,0.851088205117468
Camille,0.8469411436529657
Tryndamere,0.8447028418889488
Vayne,0.8424391095329004
Malphite,0.8413622419440108
Renekton,0.8380512024632254
Poppy,0.8300172591370598
Gragas,0.827315376201798
Kled,0.820068976831116
Varus,0.8162541344158692
Ryze,0.815204741145402
Teemo,0.8134891110580504
Vladimir,0.8132929472004432
Warwick,0.8079790183044369
Udyr,0.8047718537235591
Volibear,0.7999409618918448
Darius,0.791525698980576
Shen,0.7802588788213602
Sylas,0.7796621983965828
Singed,0.775135189612338
Illaoi,0.7746730360286866
Yorick,0.7732000369768397
Galio,0.7706648426595246
Rengar,0.766229087829396
Heimerdinger,0.7651444329746546
Kayle,0.7645908682868297
Urgot,0.7612249329908003
Jax,0.7519784166219075
Quinn,0.7487410492501114
Swain,0.7458005301218773
Nasus,0.7448535895117372
Smolder,0.7426589490411459
Cassiopeia,0.7420036241200809
Zac,0.7374150770480205
Karma,0.7335969468032137
Aatrox,0.73298541640142
Maokai,0.7324056901829018
Garen,0.7279717916101978
Fiora,0.7247839438755344
Gangplank,0.7241524152194423
Yone,0.7201620817547485
DrMundo,0.716861620560779
Viktor,0.712819101587164
Sett,0.7108843862985623
Rumble,0.7017896421041934
Yasuo,0.691542009607593
Ornn,0.6907329552620842
Irelia,0.6891227674948861
KSante,0.6857145781096166
ChoGath,0.6559117666921253
TahmKench,0.6537532933935365
Sion,0.6509526654826102
Gwen,0.638001776309683
Trundle,0.6298132668604915
Mordekaiser,0.6042063126709356
