partner,score
Darius,0.9749747595797053
Camille,0.9570381533311323
Gnar,0.9196094684052378
Tryndamere,0.9044706721653545
Udyr,0.8963479406253675
Vayne,0.8933094576532226
Renekton,0.8843637251734411
Sett,0.8837804587653479
Wukong,0.8820278680651504
Varus,0.8782034426133616
Volibear,0.8777394364078233
Galio,0.8754513946171831
Poppy,0.8713236268843725
Kled,0.8685323855058034
Aurora,0.8609879032363474
Fiora,0.8569593682452817
Sylas,0.8394157274774103
Jayce,0.8387203374198617
Shen,0.8363865569388992
Malphite,0.8360119937495153
Yone,0.8349399481530053
Riven,0.8333081401853883
Ambessa,0.8325862888077906
Rengar,0.8323615346941536
Warwick,0.8253395273435642
Vladimir,0.8135792844525327
Teemo,0.8110979283350319
Swain,0.8073854064597582
Kayle,0.8064563559096927
Gwen,0.8031074723802021
Garen,0.8028163162756704
Gangplank,0.8013579151178186
Pantheon,0.8000376442205572
Illaoi,0.7988746896945548
Kennen,0.7987498824920917
Singed,0.794892606723024
Akali,0.7802155185370838
Cassiopeia,0.7799524274654439
Irelia,0.7709558447130513
Gragas,0.7673580617717121
Urgot,0.7587220209101108
Smolder,0.755964956222618
Ryze,0.7541718172897345
Yorick,0.7471647298623397
Quinn,0.7464653955973644
Yasuo,0.7404708880921085
Viktor,0.7369497439981738
Maokai,0.7341693018952151
Heimerdinger,0.7328583917312153
Karma,0.7199489304762225
ChoGath,0.7146357688192493
Jax,0.708646308359552
Trundle,0.7069139026242509
Aatrox,0.7064198778777024
Zac,0.7063876643110995
Mordekaiser,0.7011398743864594
Olaf,0.6907329552620842
DrMundo,0.6817353737205412
Rumble,0.655645222986761
Sion,0.6445447156544352
KSante,0.6442111136385484
Nasus,0.642338315774526
TahmKench,0.5560630479070274
