partner,score
Sylas,1.1028127616633348
Galio,1.0658148396070135
Gwen,1.0281272779073083
Camille,1.0269779923862214
Ryze,1.025344860195256
Ambessa,1.0176338579864561
Yone,1.0172815347584263
Varus,1.0167212425221388
Garen,1.0152813207307874
Smolder,1.008955251020844
DrMundo,1.0062245816392819
Nasus,1.0032626246087202
Kayle,0.9988483041111551
Viktor,0.9984692531986069
Darius,0.9941877556457294
Akali,0.9932051761561199
Olaf,0.9867579131469576
Udyr,0.9796753120287028
Shen,0.9790149118991182
Illaoi,0.9719556451768456
Vayne,0.9715452803384265
Aatrox,0.9679489010707177
Trundle,0.9668517462723129
Irelia,0.9645530858927128
Gangplank,0.9628768259539506
Mordekaiser,0.9573938419570538
Singed,0.9544276545696724
Zac,0.9537053842669728
Gnar,0.9530719412428611
Teemo,0.952279614111047
Swain,0.9478482727596118
Yorick,0.9442518634684124
Warwick,0.9363512057176846
Vladimir,0.9295032345060451
Sion,0.9291389930366624
Rumble,0.928282380044856
Volibear,0.9277890683690013
Yasuo,0.9251683471581477
Zaahen,0.9247508510235452
Fiora,0.9246223353612595
Quinn,0.9241006073674439
Poppy,0.9236101614674848
Ornn,0.921098312327916
Aurora,0.9202543353071819
Gragas,0.9171876972714778
Cassiopeia,0.9148740919973973
ChoGath,0.9134985719517043
Jayce,0.913286846841402
Kled,0.912399069351933
Sett,0.9118529198757049
Heimerdinger,0.9112090784936966
Karma,0.9047739408342258
Tryndamere,0.9043042342493794
Jax,0.9033322648556641
Kennen,0.900777419539416
Renekton,0.8989363627988197
KSante,0.8804829142731924
TahmKench,0.8787559098262961
Malphite,0.8748143739024168
Urgot,0.8690543156255872
Riven,0.8621867658005956
Wukong,0.8487773850986293
Rengar,0.8263607494168254
Maokai,0.8196015430451815
