partner,score
Gwen,1.023205329915898
Wukong,1.022779179556664
Garen,1.0204408151408533
Mordekaiser,1.0129683103750922
Poppy,1.0107165859838165
Camille,1.005350349296938
Illaoi,0.9968058771908219
Zaahen,0.9818786414574601
Kayle,0.9738246452517132
Ornn,0.9575219352084422
Shen,0.9494297919440559
Sylas,0.9444834989652775
Olaf,0.9442236530838681
KSante,0.9418165102085498
Viktor,0.9395983207549292
Urgot,0.9343617039549496
Warwick,0.9312206690582508
Darius,0.9279661928293208
Trundle,0.925260472604383
Vayne,0.9199952669636327
DrMundo,0.9187760252259263
Gnar,0.9175551315215701
Varus,0.917041646048996
Yorick,0.9119871548829016
ChoGath,0.9112758469858453
Ambessa,0.9103090044215704
Kled,0.907571413674703
Renekton,0.9074565016377522
Volibear,0.9032591945500196
Rumble,0.896657488854448
Galio,0.8907730922015373
Pantheon,0.8867969546280277
Gragas,0.8842181025999042
Fiora,0.8826291499844844
Quinn,0.8788864315269593
Udyr,0.878858028058436
Karma,0.8787290540374179
Jayce,0.8772829374516113
Smolder,0.8757578519564356
Aatrox,0.8716951040998591
Maokai,0.8699619771863119
Irelia,0.8685640320237819
Tryndamere,0.8683723189040194
Yone,0.8635686931764825
Singed,0.8616676895088031
Sett,0.8613989088635315
Yasuo,0.8593782069849247
Nasus,0.857557953165562
Cassiopeia,0.8568949948609488
Kennen,0.8560918556030568
Sion,0.8451222438646947
Malphite,0.8437171446140813
Aurora,0.8437028117159647
Teemo,0.8395019111418999
Ryze,0.8386334574222007
Riven,0.833925492030355
Rengar,0.8173463899908937
Gangplank,0.8100772677730421
Swain,0.8071956972593266
Zac,0.7780259675712307
TahmKench,0.7695061968649457
Heimerdinger,0.7322359504362981
Jax,0.7311097544365855
Vladimir,0.7290318846183662
