partner,score
Camille,1.024493079585781
Poppy,0.9901310098923078
Renekton,0.9868051417306357
Garen,0.9840367396618327
Volibear,0.9792945531526934
Gragas,0.9750979288852184
Pantheon,0.9707773491759393
Wukong,0.9662284430950936
Zaahen,0.9575659284824019
Malphite,0.9396740187223396
Darius,0.9380232005214917
Sylas,0.9344636286592886
Rumble,0.9336150739570926
Ornn,0.9317051785714695
Shen,0.9283398884328954
Quinn,0.927049114326084
Rengar,0.926882388408416
Sett,0.9190380839458289
Udyr,0.9188656698625001
Trundle,0.916928108123183
ChoGath,0.9095722957834489
Irelia,0.906274035578128
Heimerdinger,0.8960172035045327
Mordekaiser,0.8928249918923522
Sion,0.8926760739395271
Kled,0.8912622017938419
Nasus,0.8887558966762649
Galio,0.8875027065114922
Urgot,0.8872160119512846
Fiora,0.886406852135634
Jax,0.8857489700530345
Tryndamere,0.8852296141636854
Yasuo,0.8824473705020235
Gangplank,0.8799748721595327
Warwick,0.8791810520637324
Vayne,0.877987064629324
Zac,0.8779131532400465
Ambessa,0.8765313565367531
TahmKench,0.8747334394288059
Illaoi,0.8738324609285865
Riven,0.8731885573594781
Teemo,0.867066155547722
Yorick,0.8630627791095443
KSante,0.8556048638064334
Maokai,0.8501717352176799
Akali,0.8437028117159647
Ryze,0.8390268058855698
Olaf,0.8339103480283281
Karma,0.8323957440665419
Gnar,0.8315930691791061
Kayle,0.8312796275352123
Smolder,0.8305548983461419
Cassiopeia,0.8231433457731634
Gwen,0.8218647962224984
Kennen,0.8188948926371054
Varus,0.8173559725763709
Singed,0.8147943510040222
Viktor,0.8084047834842191
Aatrox,0.802013712235245
Vladimir,0.794995803696173
Yone,0.7868976707412966
DrMundo,0.7826188736496159
Jayce,0.7817579988033994
Swain,0.7292446661529856
