partner,score
Sylas,1.1805675305154197
Aatrox,1.064675284288734
Renekton,1.043971157124902
Nasus,1.0383328816738948
Ryze,1.0371054487906837
DrMundo,1.0353494470844546
Gwen,1.0274275778832007
Viktor,1.0273505168510142
Aurora,1.024493079585781
Smolder,1.0230844973718733
Kennen,1.0217936750234733
Mordekaiser,1.0200190696605231
Ornn,1.0188981586430461
Urgot,1.0155844056215952
Karma,1.0149666509009962
Zac,1.009042799481211
Cassiopeia,1.0090300899982434
Ambessa,1.0089628681864062
ChoGath,1.0078664032682394
Sion,1.006864927650764
Gnar,1.006295060607665
Jayce,1.005937299340143
Akali,1.005350349296938
Yasuo,1.0053353282082156
Fiora,1.0049568769778752
Sett,1.0045232828556119
Gragas,1.003421848049584
Gangplank,0.9993196295773417
Varus,0.9978137289980247
Galio,0.9977418405169859
Pantheon,0.9956911611214307
Vladimir,0.9937735890593166
KSante,0.9925646876360535
Poppy,0.9921064246703036
Swain,0.9918102569516313
Darius,0.9910925251858577
Maokai,0.987092265222105
Quinn,0.9860960652486715
Yone,0.9823924007220214
Rumble,0.9744297951885332
Irelia,0.9701891158421276
Vayne,0.9676301765075865
Garen,0.9627591304801452
Udyr,0.9614380378487413
Rengar,0.9546043402115604
Riven,0.9542365388004094
Yorick,0.9526558453426811
Kled,0.9494243913155597
Heimerdinger,0.9478639475651381
Singed,0.947222707788536
TahmKench,0.944445795750556
Olaf,0.9368278341265511
Teemo,0.9364100634756772
Warwick,0.928040371989363
Trundle,0.9278167925010925
Jax,0.9251257966020655
Malphite,0.9244971096434574
Shen,0.9179148640071761
Wukong,0.9147397656879059
Zaahen,0.901564557441745
Illaoi,0.9008797821936337
Kayle,0.8941629771294063
Volibear,0.8707626784694886
Tryndamere,0.8629299668923626
