partner,score
Sylas,1.0564813534969333
Darius,1.0343979441807152
Renekton,1.0211342172521536
Udyr,1.0208567139678772
Wukong,1.0152556042944592
Vayne,1.0132095488443904
Gwen,1.0113895699404691
Volibear,1.0104152506891995
Camille,0.9993196295773417
Shen,0.9888516518078344
Warwick,0.9858764741442112
Ornn,0.9814636561352096
Rumble,0.9732129464392785
Poppy,0.9708465962561607
Illaoi,0.9704638423731425
Galio,0.9681599596016133
Zaahen,0.962566406055797
Riven,0.9613079466680452
KSante,0.9567265968505461
Garen,0.9538938498960503
Yasuo,0.9521950678475648
Mordekaiser,0.9507052306184154
Irelia,0.9495179934783362
Kennen,0.9492665935392955
Kayle,0.9468931867289188
Fiora,0.9415871401919282
Gragas,0.9413833727439211
Viktor,0.937109853545937
Trundle,0.9339721828605356
Ryze,0.9311975805927
Smolder,0.9305018994197761
Ambessa,0.9304497109437067
Pantheon,0.9287572166986142
Varus,0.9282830915443924
Singed,0.9271650485282164
Yone,0.9250291755792024
Kled,0.9158982811725682
Rengar,0.9147230406981373
Teemo,0.9141431801814994
Gnar,0.9038373911239095
Yorick,0.9032323753385407
Jayce,0.9022161815162593
Nasus,0.9003700247810053
Karma,0.9000184522997319
Tryndamere,0.8992312999293621
Urgot,0.8899195267917183
Quinn,0.8897153296368021
Heimerdinger,0.8880719163020746
Malphite,0.8871595759104187
Sett,0.8842691441272057
Aurora,0.8799748721595327
Aatrox,0.8795192617845101
ChoGath,0.8760197237048607
Jax,0.8752152955478607
Maokai,0.8565152175428141
TahmKench,0.854649118633156
Swain,0.8544787834646848
Olaf,0.8487235021323432
Sion,0.8414797556091335
DrMundo,0.8346656251311526
Zac,0.8166743181045962
Akali,0.8100772677730421
Cassiopeia,0.7985990122557293
Vladimir,0.7812173229703082
