partner,score
Quinn,1.0466665989096307
Camille,1.0274275778832007
Akali,1.023205329915898
Gragas,1.0123821202504304
Gangplank,1.0113895699404691
Pantheon,1.0073348498361419
Ryze,1.00387291796301
Malphite,0.9941519077934591
Urgot,0.9887709665268264
Renekton,0.9762795256805624
Gnar,0.9725064296634757
Garen,0.9712725218216595
Teemo,0.9683172977404906
Kennen,0.9680269327756524
Vladimir,0.967801758926832
Cassiopeia,0.9624013307320385
Darius,0.9617493302032191
Poppy,0.9565554378995251
Ambessa,0.9550315589250599
Smolder,0.9456584647859047
Maokai,0.9379335134723213
Aatrox,0.9359103367832664
Vayne,0.932515432083934
Jayce,0.9302455405069899
Nasus,0.9285367069438119
ChoGath,0.9240629483550411
Wukong,0.9215085821512867
Rengar,0.9171978123036818
Viktor,0.9170749265774367
Fiora,0.9040410075865476
Sett,0.9039572985782113
Volibear,0.9038612461230336
Shen,0.9019186627124807
Kled,0.8939343015083508
Rumble,0.8933048795046126
Tryndamere,0.8914604937362199
Heimerdinger,0.8904550824136551
Karma,0.8894304916278659
Sion,0.8862531157087087
Zaahen,0.8857895987577229
Sylas,0.8841729713166768
Ornn,0.8837825819472525
Trundle,0.878271064557223
Udyr,0.8751548391247157
Illaoi,0.8659269965373948
Warwick,0.8590189757946004
Mordekaiser,0.857018136398282
Galio,0.8552304180949437
TahmKench,0.8473115470989898
Singed,0.8416948199176795
Yasuo,0.8411930619529557
Varus,0.8356762317603117
Swain,0.8346869677960983
KSante,0.8229614458356546
Jax,0.8220087167661161
Yorick,0.8218846296275283
Aurora,0.8218647962224984
Irelia,0.8103445654780491
Olaf,0.8099261906498552
Riven,0.8095860156519399
DrMundo,0.8073024854240656
Zac,0.7928102259623458
Yone,0.7688679818112845
Kayle,0.7679196770914053
