partner,score
Sylas,1.0449081140074805
Gragas,1.0367252054973664
Rengar,1.0339878886919043
Ryze,1.026381684354197
Vladimir,1.0254634518250763
Akali,0.9968058771908219
Cassiopeia,0.9792667527710338
Aatrox,0.9781434785446329
Sion,0.9761539489040058
Gangplank,0.9704638423731425
Nasus,0.9678315957765253
Ambessa,0.9642915594665411
Pantheon,0.9636500837377976
ChoGath,0.9565923390436372
Irelia,0.9563487918986984
Rumble,0.9526645576451725
Trundle,0.9522283253864617
Malphite,0.9501047842357014
Quinn,0.9434931977964587
Urgot,0.9416250322816687
Ornn,0.9374515969754378
Sett,0.9288837364089954
Darius,0.9279181773965021
Kennen,0.9273941829779461
Teemo,0.9260646372179904
Kled,0.925784366681347
Jayce,0.9213789720888881
Tryndamere,0.9192454634872169
Viktor,0.918719381226722
Yorick,0.917794551629182
Yasuo,0.9133818299156985
Smolder,0.9105740562976322
Gnar,0.9093383775733115
TahmKench,0.9084702030746827
Kayle,0.9031155230517637
Camille,0.9008797821936337
Wukong,0.8968717835575174
Olaf,0.8953165300696303
DrMundo,0.8894605705346129
Karma,0.8859151766367007
Mordekaiser,0.8766552215636395
Aurora,0.8738324609285865
Volibear,0.8709328713362031
Udyr,0.8677913057207007
Yone,0.8675740683332009
Warwick,0.8664853952651527
Gwen,0.8659269965373948
Fiora,0.8605193781581042
Galio,0.8591527101200273
Varus,0.8574521175399629
Maokai,0.8568633831165169
Zaahen,0.8475782535865956
Poppy,0.8458029348096685
Renekton,0.8423406251449423
Heimerdinger,0.8409820939012888
Vayne,0.8394469404912898
Jax,0.8373621784900195
Zac,0.8371642389319174
Riven,0.8361288885969415
KSante,0.8255559760990507
Shen,0.8177235989325976
Swain,0.8055650211157059
Garen,0.7696612317392134
Singed,0.7583412855947927
