partner,score
Smolder,1.0493773524923848
Ryze,1.0369205180157663
Camille,0.9925646876360535
Sylas,0.990501337527038
Kennen,0.9848834009356566
Gnar,0.9753497057579643
Quinn,0.9643267111292115
Darius,0.9585623305396826
Rengar,0.958346415838128
Gangplank,0.9567265968505461
Trundle,0.9565646235936046
Cassiopeia,0.9531642584928808
Vladimir,0.9421919972951915
Akali,0.9418165102085498
Wukong,0.93929119577902
Warwick,0.9347403271016435
Vayne,0.9305665488007178
Pantheon,0.9301456872787404
Malphite,0.9299375725427885
Udyr,0.9252244257162116
Poppy,0.9227237653172151
Viktor,0.9162929822352162
Nasus,0.9117240330627703
Renekton,0.9109064943189651
Jayce,0.9105161786646114
Kayle,0.9102200757535116
Urgot,0.9067904694023496
Aatrox,0.9065506292482001
Varus,0.9049536266414484
Teemo,0.9045705024336539
Gragas,0.9037074395591935
Ambessa,0.9031331833571495
Tryndamere,0.8996214526464887
Garen,0.8962281617816515
Fiora,0.890345041668353
Olaf,0.8866274256045584
Zaahen,0.8847708560476262
Maokai,0.882871580201411
Sett,0.8812567156479805
ChoGath,0.8809484018694923
Yone,0.8808895561534138
Volibear,0.8799605084300073
Riven,0.8678634072128718
Swain,0.860234661047649
Yasuo,0.8584453868892168
Aurora,0.8556048638064334
Shen,0.8542616840450853
Irelia,0.8463590732820928
Galio,0.8419755746191745
Jax,0.8292870127354316
Karma,0.8269209831890905
Heimerdinger,0.8261521201418873
Illaoi,0.8255559760990507
Gwen,0.8229614458356546
Rumble,0.8214276069357129
Singed,0.817897027320102
Mordekaiser,0.8074588911926968
Kled,0.8016965499140142
Yorick,0.8014817589709047
Sion,0.7968970022728592
DrMundo,0.7781903307965374
Zac,0.7627636307775927
Ornn,0.7499924595402985
TahmKench,0.7492746942537762
