partner,score
Fiora,1.0496827880572825
Wukong,1.0465401625330575
Camille,1.0383328816738948
Ambessa,1.0134741496685207
Darius,1.006945713077033
Vayne,1.0018066275302338
Pantheon,0.9894269882541903
Smolder,0.9886575989113615
Aatrox,0.9861034421358557
Kayle,0.9844351006079892
Mordekaiser,0.9721884649511315
Singed,0.9687495703011191
Illaoi,0.9678315957765253
Gnar,0.9548684631198764
Yorick,0.9542466123275141
Renekton,0.9387625963448144
Zaahen,0.9362436676198991
Cassiopeia,0.930491643071466
Gwen,0.9285367069438119
Volibear,0.9228702970217273
Yone,0.9228313236867803
Varus,0.9205316803314968
Shen,0.9197045354768838
Ryze,0.9195521517084629
Rumble,0.9133126988868646
KSante,0.9117240330627703
Quinn,0.9105843659255078
Poppy,0.9064939512974056
Kennen,0.903774642997402
DrMundo,0.9023039894390705
Urgot,0.9016333848956383
Olaf,0.9005064191630715
Gangplank,0.9003700247810053
Karma,0.9003027424821383
Kled,0.8940661592113882
Viktor,0.8932804378531276
Garen,0.8932074649839898
Sett,0.8896304158248886
Aurora,0.8887558966762649
Warwick,0.874811653258534
ChoGath,0.8747866662104002
Rengar,0.8725061838027337
Gragas,0.8718926932101311
Trundle,0.8682711062973357
Yasuo,0.8598319370084396
Swain,0.8589947919278903
Akali,0.857557953165562
Jayce,0.8514469599378074
Tryndamere,0.8511668724717355
Heimerdinger,0.8490361838937138
Teemo,0.8470328756779765
Udyr,0.845896880770842
Malphite,0.8452392041873688
Irelia,0.835285378086461
Maokai,0.8344983442098449
Sylas,0.8344848136115744
Ornn,0.8139212068861614
Vladimir,0.8108699065663872
Galio,0.8054332531841301
Riven,0.8040419994832659
Jax,0.7821684366143734
TahmKench,0.7771975461329276
Sion,0.700629699515905
Zac,0.6740820015400196
