partner,score
Renekton,1.0014020070713907
Mordekaiser,0.9687609598193867
Sylas,0.9675096822745194
Ambessa,0.9673771461945663
Kennen,0.967349190332511
Galio,0.9579522298045189
Urgot,0.9533592294312438
Karma,0.9504979430584372
Yorick,0.948372527173622
Ryze,0.9451230792695395
Smolder,0.9363818986579143
Ornn,0.9321244929661647
Aatrox,0.9316576610313917
Gragas,0.9223343977170013
Heimerdinger,0.9215487556776146
Illaoi,0.9192454634872169
Garen,0.9156103045247528
Swain,0.9131566527458027
DrMundo,0.9032502054205892
Pantheon,0.9026764943458551
Fiora,0.9007283808266547
KSante,0.8996214526464887
Gangplank,0.8992312999293621
Shen,0.8959437308832755
Gwen,0.8914604937362199
Darius,0.8861569973010025
Aurora,0.8852296141636854
Malphite,0.8827728549775339
Rumble,0.8812686400701784
Poppy,0.8809983310140611
Cassiopeia,0.8774694138870966
Akali,0.8683723189040194
Udyr,0.8682367094149248
Varus,0.867657403726772
Camille,0.8629299668923626
Gnar,0.8580343280102898
Yone,0.8572505662468886
Jayce,0.8518178805837829
Nasus,0.8511668724717355
ChoGath,0.8459545754187361
Quinn,0.8450121557131215
Teemo,0.8446468733417195
Volibear,0.8444710349456911
Singed,0.8434777008569563
Vladimir,0.8416190270797402
Viktor,0.8401710064262349
Jax,0.8345397902755086
Kled,0.8324852962620154
Vayne,0.8293249677949698
Maokai,0.8287537573892234
Sion,0.8226843046206098
Wukong,0.8213535771812588
Rengar,0.7969464602738904
Yasuo,0.7886734392890038
Kayle,0.777408833062691
TahmKench,0.7736234815542443
Olaf,0.7732849641606405
Trundle,0.767409936632194
Sett,0.7408057842529768
Zaahen,0.7329881924044083
Riven,0.7305488349939494
Irelia,0.7163809294841716
Zac,0.7009745736540856
Warwick,0.6869596610662843
