partner,score
Darius,1.0723584523863319
Camille,1.0273505168510142
Fiora,1.0259520895043452
Renekton,1.0062619543180689
Vayne,0.9830531105122122
Gnar,0.9736563315694386
Garen,0.9676294797998013
Urgot,0.9645674868974684
Mordekaiser,0.9642916988602217
Smolder,0.9604540717403678
Aatrox,0.9585280594713126
Volibear,0.9573741025669883
Udyr,0.9438559348829046
Zaahen,0.9421933849365054
Ambessa,0.9413986996126008
Akali,0.9395983207549292
Trundle,0.9374826216846164
Gangplank,0.937109853545937
Gragas,0.9336146404660454
Pantheon,0.9311853783460784
Poppy,0.9287353390210876
Singed,0.9229462170895981
Illaoi,0.918719381226722
Ryze,0.9179816923653255
Gwen,0.9170749265774367
KSante,0.9162929822352162
Sylas,0.9155609331710425
Shen,0.9150152302981643
Kled,0.9145511288616841
Kayle,0.9091802402512286
Heimerdinger,0.903747283536232
Kennen,0.8990147514112468
Wukong,0.8968054825399397
Jax,0.8939989676139111
Nasus,0.8932804378531276
Malphite,0.8902045010155413
ChoGath,0.8861843534913072
Yorick,0.8798639087740104
Sett,0.8783854212883172
Swain,0.8777873411963052
Ornn,0.8767089955287399
Quinn,0.8741241956618855
Teemo,0.873063996435232
Riven,0.870164488031242
Cassiopeia,0.8649777147063599
Warwick,0.8637902654141196
TahmKench,0.850551588147992
DrMundo,0.8474936230906416
Tryndamere,0.8401710064262349
Rumble,0.8363190961983137
Sion,0.833886383220946
Olaf,0.8332857473791719
Jayce,0.827200787440077
Yone,0.8241348971756713
Yasuo,0.8111449274029382
Galio,0.8104748772628263
Aurora,0.8084047834842191
Rengar,0.802537617737853
Varus,0.796866859970322
Karma,0.7867609944945455
Vladimir,0.7836863556837588
Zac,0.7505494761890081
Irelia,0.7386140615698454
Maokai,0.7321795625291156
