partner,score
Camille,1.0053353282082156
Mordekaiser,1.0012688330119535
Volibear,1.0001119412599289
Urgot,0.9954492057153683
Darius,0.9928036018665868
Ryze,0.988928427743227
Aatrox,0.9848686259082013
Smolder,0.9810807140284098
Gragas,0.9765301111298562
Kled,0.9687534348068401
Rumble,0.9677881938519999
ChoGath,0.9669684121010669
Trundle,0.9561091480532342
Gangplank,0.9521950678475648
Vayne,0.94999167448168
Renekton,0.9498459925392815
Shen,0.9478874924623273
Gnar,0.9398395801433164
Kennen,0.9365513191413245
Garen,0.9237203153739912
DrMundo,0.9232145650981993
Teemo,0.9216588378173513
Illaoi,0.9133818299156985
TahmKench,0.9113458402187338
Kayle,0.9034952951463741
Zaahen,0.8954878878465249
Ambessa,0.8945215852852809
Heimerdinger,0.8939883814209388
Malphite,0.8913276160274641
Wukong,0.8873303112743016
Udyr,0.8853832577538462
Varus,0.8836860420590404
Swain,0.8834326299962246
Aurora,0.8824473705020235
Ornn,0.8812056775122366
Sylas,0.8801453619031787
Jayce,0.8711165341376729
Quinn,0.8707132655489308
Karma,0.8660850223984442
Vladimir,0.8657366872367616
Yorick,0.8657164121659385
Pantheon,0.8640337279111708
Jax,0.8638977784598227
Cassiopeia,0.8626456020684112
Nasus,0.8598319370084396
Akali,0.8593782069849247
Olaf,0.8588634238036611
KSante,0.8584453868892168
Maokai,0.8565920065599485
Gwen,0.8411930619529557
Sett,0.8400547801117649
Singed,0.8399340898964041
Fiora,0.8393113719891605
Warwick,0.8166069802647348
Viktor,0.8111449274029382
Galio,0.8084875139430124
Sion,0.7929003359028715
Tryndamere,0.7886734392890038
Poppy,0.7686288078137895
Riven,0.725393863608194
Yone,0.7124937686631908
Rengar,0.6740226346257362
Zac,0.6262309025177544
Irelia,0.5642235225407661
