partner,score
Renekton,1.0301780723450213
Darius,1.0107426566587163
Zaahen,0.9941595835755873
Wukong,0.9904683682166961
Smolder,0.9780313872589613
Poppy,0.9777619014553794
Garen,0.9737549281837214
Warwick,0.9709359632481452
Sett,0.9684819044841511
Nasus,0.9542466123275141
Camille,0.9526558453426811
Jax,0.9497899663227776
Tryndamere,0.948372527173622
Maokai,0.9445338099790888
Kennen,0.9438768017169541
Vayne,0.9433784448016571
Quinn,0.9381090100153527
Pantheon,0.935181195324989
Gnar,0.9327522240132758
Singed,0.9326612271877941
Sylas,0.9309446836250941
Aatrox,0.928427894388525
Volibear,0.9244214980727871
Malphite,0.9241631956039331
Shen,0.921010447766979
Trundle,0.9191357087161148
Illaoi,0.917794551629182
Akali,0.9119871548829016
ChoGath,0.9102920085906527
Ryze,0.9093025039080735
Fiora,0.9061995284211518
Gangplank,0.9032323753385407
Gragas,0.8984052008640642
Riven,0.8928946072511288
Mordekaiser,0.8916387570987515
Teemo,0.8896660136777909
Rengar,0.8807920533976835
Viktor,0.8798639087740104
Urgot,0.8686302059054926
Yasuo,0.8657164121659385
Ambessa,0.863349340023845
Aurora,0.8630627791095443
Rumble,0.8618208140366015
Udyr,0.8617964696554455
Olaf,0.860761004305311
Kayle,0.8540065341514131
Kled,0.845673616750371
Galio,0.8455997246473663
TahmKench,0.8448431720938876
Cassiopeia,0.8375020884954993
Karma,0.8346259856029172
Irelia,0.8232099633448878
Sion,0.8221152813663467
Gwen,0.8218846296275283
Jayce,0.8167379338028262
Yone,0.8113898147475673
Swain,0.8108072753266428
Vladimir,0.8050464965200872
Zac,0.8025605904860554
KSante,0.8014817589709047
Ornn,0.7952863859179407
Heimerdinger,0.7853159818421065
Varus,0.78443917730341
DrMundo,0.7406623080945667
