partner,score
Zaahen,1.053616826143941
Kled,1.0186500574133823
Camille,1.0140443084959037
Sett,1.012460254352961
Shen,0.9965070395071307
Trundle,0.9930400427704468
Sylas,0.9925615695740688
Tryndamere,0.9882144485831829
Wukong,0.9838675834207521
Warwick,0.9828672270205222
Volibear,0.9772252792778998
Fiora,0.9683185773924186
Yorick,0.967889696382997
Irelia,0.9551100667697543
Mordekaiser,0.9544517928323875
Garen,0.954049843399564
Varus,0.938458170889597
Gragas,0.9328346082359066
Vayne,0.9310807591316798
Aatrox,0.9204204300848089
Ornn,0.918041417009678
Kayle,0.9160990763312005
Poppy,0.9136559224997142
Rumble,0.9096468105943569
Darius,0.9088352197427563
Renekton,0.9085799629041139
Zac,0.9035011348384668
Urgot,0.9016951478800431
Maokai,0.9016305096809836
KSante,0.9002990260037893
Gwen,0.9000546009738241
Riven,0.8974816043670264
DrMundo,0.8972002430441294
Gnar,0.8954609128125294
Malphite,0.8879872706597846
Illaoi,0.8866150289452251
Quinn,0.8857602969922599
TahmKench,0.883931786647717
Udyr,0.8818446604709745
Olaf,0.8802820363513489
ChoGath,0.8770437424082265
Pantheon,0.8763314030386891
Smolder,0.8702164905859159
Vladimir,0.8698090406135017
Singed,0.8696679050615085
Gangplank,0.8577377671321378
Yone,0.8486230604372205
Viktor,0.8447597798804198
Ambessa,0.84062592640521
Aurora,0.8384442525266222
Jayce,0.8384181863445175
Ryze,0.8384120250131192
Nasus,0.8337997318778869
Yasuo,0.8315680747261367
Rengar,0.8304444972652019
Akali,0.8273891873900411
Kennen,0.8265337504525251
Galio,0.8122719959029362
Sion,0.7953085770964999
Teemo,0.7765657339130378
Karma,0.740252209925266
Heimerdinger,0.7119064614171536
Jax,0.7000179866066576
Swain,0.6926077394486736
