partner,score
Sylas,1.056980634022117
Gragas,1.0422955763395516
Vladimir,1.0343454846434572
Ryze,1.0245518494177819
Kennen,1.022976712373483
Galio,1.0117832572682723
Varus,1.0082924630208778
Heimerdinger,1.0068888379962768
Malphite,0.9980759730858714
Poppy,0.9969682786249646
Camille,0.9939721280368414
Urgot,0.9898097886047139
Rumble,0.9869947828147569
Olaf,0.9853061378777913
Renekton,0.9852764777882628
Nasus,0.9810055098920434
Akali,0.9779650760614687
Cassiopeia,0.9683185773924186
Volibear,0.9651160279765603
Smolder,0.9539970931029613
Teemo,0.9537183726013663
Yorick,0.9515042569924508
ChoGath,0.9505600528247031
Wukong,0.9477771102355016
Kled,0.9456632534308476
Maokai,0.9432577885266318
Zaahen,0.9432539837944547
Illaoi,0.9390934394787254
Aatrox,0.9385758913373532
Mordekaiser,0.9371910320034523
Sett,0.9361863796914388
Quinn,0.9354035328951762
Karma,0.9342166940376799
Shen,0.9328801253597396
Yone,0.9328030849979827
Gangplank,0.9323571636252985
Gwen,0.9314400293041547
Vayne,0.9309738702575041
Swain,0.9307660108130289
TahmKench,0.930312798465492
Viktor,0.9277689868072291
Darius,0.9249340075608923
Jayce,0.9237911051234826
Ornn,0.9211295971215605
Aurora,0.9208485549857339
Warwick,0.9188162521517954
Irelia,0.9187970976903124
Gnar,0.9159821731281912
DrMundo,0.9116097617261669
Yasuo,0.906739429851511
Kayle,0.9048769541943954
Singed,0.8994402680495753
Pantheon,0.8975306999596637
KSante,0.8953635395028876
Jax,0.8939264558180502
Trundle,0.8911008582881933
Sion,0.8896359574507064
Garen,0.8867298669454511
Ambessa,0.8709674879034932
Tryndamere,0.8633066064321171
Zac,0.8458687226281828
Udyr,0.8399931748425741
Rengar,0.8392450981787318
Riven,0.7904502740916959
