partner,score
Yorick,1.0098766358569295
Varus,0.9851565821670872
Zaahen,0.9609484070536074
Sylas,0.9579257168393858
Ryze,0.9375271438929698
Irelia,0.9314640068442499
Trundle,0.9271468996727744
Shen,0.927045931197501
Kled,0.9262542222958731
Camille,0.9038774707331392
Wukong,0.899005694049786
Garen,0.8950833808624796
Vladimir,0.8939716884017821
Fiora,0.8939264558180502
Smolder,0.8898572058368637
Poppy,0.8875974403976903
Olaf,0.8870831696693527
Quinn,0.8852794814710992
Rumble,0.8837281049252319
Sion,0.8765089093695602
Viktor,0.875503725924893
Sett,0.8714604611497846
DrMundo,0.8703868579556293
ChoGath,0.8684597584600039
Singed,0.8681311650074536
Urgot,0.8680054907653258
Ambessa,0.8647228217788815
Vayne,0.8598941637402889
Gnar,0.8598885394979119
Aatrox,0.8535602704722409
Darius,0.8499393020763532
TahmKench,0.8489557856327603
Illaoi,0.8466192615978302
Yasuo,0.8447623801495792
Maokai,0.8447255069019691
Yone,0.8428690135978707
Kennen,0.8417298820242123
Tryndamere,0.8413943715041942
Mordekaiser,0.8380829509804986
Gragas,0.8353474603754549
Ornn,0.8352662637486077
Gwen,0.8320703142869676
Warwick,0.831786981625577
Jayce,0.8288027883568063
Zac,0.8222564051126665
Udyr,0.8064191425002482
Aurora,0.8056868653546039
Kayle,0.7923835393049982
Swain,0.7896210021762076
Karma,0.7876852134689394
Pantheon,0.7768456348906914
Volibear,0.7765784586188412
Teemo,0.7759138728015903
Gangplank,0.7656267248980755
Malphite,0.7622927302266599
Renekton,0.7363268801257744
Rengar,0.7343526069476327
Galio,0.7343025872099614
Nasus,0.7325609423251448
Riven,0.713265398286447
Heimerdinger,0.7015503155483986
KSante,0.7007284166940912
Cassiopeia,0.7000179866066576
Akali,0.6806726698830383
