partner,score
Sylas,1.0185442742225261
Vladimir,1.0111038669980847
Gragas,1.0009243384518105
Kled,0.9924452028675934
Zaahen,0.9799075953884022
Urgot,0.9793177819766844
Poppy,0.9719918490176681
Illaoi,0.9643289204502767
Galio,0.9607405900628793
Malphite,0.9555518989034328
Renekton,0.9555379324797939
Rumble,0.9491972535224813
Gangplank,0.9312496711269761
Yasuo,0.9245008899876325
Singed,0.9200536547912922
Garen,0.9168043013970282
Cassiopeia,0.9160990763312005
Pantheon,0.915827114346577
Warwick,0.913345544523971
Nasus,0.9115009764561425
Kennen,0.9079454561052519
Fiora,0.9048769541943954
Sett,0.9018840623410852
Sion,0.9012381627262951
Olaf,0.899609564399281
Aatrox,0.8991582609630289
Ryze,0.8984788791060776
TahmKench,0.8961522571415002
Wukong,0.8955116392844923
Shen,0.8943201366485749
Camille,0.8920746746109991
Yorick,0.8877920810344998
Irelia,0.8875016293626772
Ornn,0.8860001774891079
Ambessa,0.8839809535053247
Tryndamere,0.8838944967931529
DrMundo,0.8834543790348144
ChoGath,0.8815562401744672
Viktor,0.8646479015535105
Akali,0.8630588324309165
Maokai,0.8619605102219116
Darius,0.8617338176532883
Jayce,0.8597655465943166
Varus,0.8582928360687361
Zac,0.8562121284103326
KSante,0.8494177001159526
Riven,0.8486345569064779
Heimerdinger,0.8426606431953768
Mordekaiser,0.8401070040040794
Volibear,0.8397052304268798
Quinn,0.8359850697719053
Udyr,0.8273493097432847
Yone,0.8187949593966192
Swain,0.8166992431260219
Trundle,0.8132524175378575
Teemo,0.8104987089149931
Karma,0.8046018701922328
Gwen,0.7947624998077291
Jax,0.7923835393049982
Vayne,0.7817876387645666
Smolder,0.7548932208975191
Gnar,0.7535783663518921
Aurora,0.7422176742234328
Rengar,0.7023536338266849
