partner,score
Sylas,1.0859750534599721
Zaahen,1.0343128618528015
Sett,1.0304785185973395
Aatrox,1.026265292952902
Fiora,1.022976712373483
Shen,1.016115996397621
Kled,1.010754557227352
Camille,1.005501907324756
Gwen,1.0036202510612426
Yorick,1.0034849757659026
Trundle,0.9917167390831441
Irelia,0.9825746705821046
Yone,0.9791644614621291
KSante,0.9750451447116228
Tryndamere,0.9684302408589666
Zac,0.9638858391703342
Mordekaiser,0.9637714034321839
Volibear,0.9614752601880903
Sion,0.9606479056757449
Warwick,0.9582367947756872
Darius,0.9552086235322035
Varus,0.9531086513801509
Garen,0.9495468560670821
Olaf,0.9435749366734068
Poppy,0.9411738559522341
Illaoi,0.9373496178064723
Wukong,0.9329219867931676
Viktor,0.9319262431489787
ChoGath,0.9315489932917196
Yasuo,0.9282287897734406
Renekton,0.9242725101245879
TahmKench,0.9191370357213479
Nasus,0.9180145004243687
Singed,0.9159606643750301
Gnar,0.9110117302931154
Gragas,0.9082362360711325
Kayle,0.9079454561052519
Ornn,0.9077456866912265
Udyr,0.9046204645868122
DrMundo,0.903614490429154
Galio,0.9025602240447788
Rumble,0.8992969958895771
Vayne,0.896868650002595
Pantheon,0.8950297675667709
Riven,0.885364190593777
Gangplank,0.8796605014692563
Maokai,0.87746449956719
Urgot,0.8750949134771085
Teemo,0.8724027862269474
Ambessa,0.8649982813073469
Ryze,0.8539878988636235
Smolder,0.8537137846393634
Jax,0.8417298820242123
Vladimir,0.8311588116078797
Cassiopeia,0.8265337504525251
Rengar,0.8218059676395254
Jayce,0.8189105348355191
Malphite,0.8176912153208791
Akali,0.8170397865171684
Aurora,0.809034907902556
Heimerdinger,0.8029215693007016
Swain,0.7956340810336424
Quinn,0.7794286829421678
Karma,0.7670414081418702
