partner,score
Trundle,0.993648779951048
Aatrox,0.9812451612031917
Warwick,0.9637820499912608
Sett,0.9545332556460587
Vayne,0.9539056722219733
Tryndamere,0.9511637618804707
Poppy,0.947322024282171
Yasuo,0.9447874214197937
Fiora,0.9432577885266318
Zaahen,0.9384863986447832
Olaf,0.9372888026093472
Shen,0.9372156753564201
Kled,0.9329475526034688
Sylas,0.9309882495184205
Akali,0.9292540581955522
Gragas,0.928721123225344
Viktor,0.9245736182233758
Illaoi,0.9235463041185058
Garen,0.9207904453527475
Darius,0.9187777076266264
Singed,0.9168799587710791
Varus,0.9138592876263063
Gwen,0.9112543907693892
TahmKench,0.9102748829974328
Cassiopeia,0.9016305096809836
Wukong,0.8995869083177449
Aurora,0.8951630957936435
Camille,0.893551508839972
Gnar,0.8869025077564475
Riven,0.886550204877747
Quinn,0.8861291041914553
Irelia,0.879378661269818
Kennen,0.87746449956719
Urgot,0.8766032540785563
Vladimir,0.8676864742729787
Gangplank,0.8650011853882621
Kayle,0.8619605102219116
Mordekaiser,0.8602216287543818
Jayce,0.8577497691226071
Yone,0.8539242182120749
Heimerdinger,0.8538728632582585
Smolder,0.850632101909049
Ambessa,0.8501693538594229
KSante,0.8468950854729395
Rumble,0.8461477470639102
Jax,0.8447255069019691
Teemo,0.8442609023894901
Malphite,0.8440936923305294
Volibear,0.8341107004242597
Renekton,0.8324993315472405
Nasus,0.8303751437728525
ChoGath,0.8165884733173321
Ryze,0.812684914948353
Pantheon,0.8083697124390389
Zac,0.8013458315877671
Ornn,0.7990259655325941
Galio,0.7702852974174633
Udyr,0.7647224426339924
Karma,0.7635391252160144
Swain,0.7604017594389081
Sion,0.7500267764070948
Rengar,0.7370764760522691
DrMundo,0.73610639718919
Yorick,0.7336864810861671
