partner,score
Renekton,1.0382790397424095
Sett,1.011680625476683
Aatrox,1.0062086676180155
Singed,0.9908256454136496
Fiora,0.9853061378777913
Mordekaiser,0.9824539724323318
Gnar,0.9754795216204777
Gragas,0.9706712557785468
Vayne,0.9700876586954259
Smolder,0.9646497109812283
Pantheon,0.9604697278822547
Akali,0.9551663358109146
Ambessa,0.9534279540694368
TahmKench,0.9522477318042697
Zaahen,0.9522197165038404
Darius,0.9499894568877194
Urgot,0.9481710322902378
ChoGath,0.9463233877384015
Kennen,0.9435749366734068
Rumble,0.9417356260889899
Maokai,0.9372888026093472
Shen,0.9328086686015706
Volibear,0.9298192044635559
Camille,0.9251812775032582
Ryze,0.9239642687514535
Jayce,0.9227230333923082
Kled,0.9213868818599499
Udyr,0.9185753581347124
Teemo,0.9185652094277957
Yone,0.9164779011991576
Malphite,0.913491502533502
Ornn,0.9128742243258112
Wukong,0.9062128443529777
Quinn,0.9023396173748344
Kayle,0.899609564399281
Vladimir,0.891265174270675
Gangplank,0.887777850662044
Jax,0.8870831696693527
Trundle,0.8840989520843496
Yorick,0.8826092603461939
Riven,0.8815594304967648
Cassiopeia,0.8802820363513489
Poppy,0.879901033885602
Sylas,0.8720597399403298
Tryndamere,0.8720215647422849
Aurora,0.8690930128803234
Varus,0.8616418105728072
Garen,0.8610419526677746
Galio,0.8506512993208478
Heimerdinger,0.8466611330671081
Warwick,0.8463074981522424
Illaoi,0.8280187325679543
Swain,0.8239000792453224
Gwen,0.8195006032428266
DrMundo,0.817417363884684
Zac,0.8171779104954973
Irelia,0.8108071993592529
Nasus,0.8011523532290036
Viktor,0.7984972407280199
KSante,0.7877937180131113
Sion,0.7610279013018488
Karma,0.7572156260947033
Yasuo,0.7461591891464979
Rengar,0.6964681810463056
