partner,score
Sylas,0.9884928646518011
Gragas,0.9661562631583908
Varus,0.9622177775596349
Urgot,0.9596098768564836
Vladimir,0.9539662031511031
Aatrox,0.9513754314875477
Poppy,0.9305735991832561
Quinn,0.9188394475249908
Olaf,0.9185753581347124
Nasus,0.9168163477061382
Akali,0.912856748675963
Illaoi,0.9123210818337725
Viktor,0.9088760178170947
Wukong,0.9088070163768042
Kennen,0.9046204645868122
Malphite,0.8993757016780516
Trundle,0.8890642013306427
Aurora,0.8862312361084903
Gangplank,0.8854963621903686
Teemo,0.8843234126774301
DrMundo,0.884181968673669
Pantheon,0.8820885924494168
Cassiopeia,0.8818446604709745
Ryze,0.8745464311280359
KSante,0.8720100578983876
Zaahen,0.8719621046243031
Vayne,0.8670786009789908
Rumble,0.8635748157604893
Kled,0.8632396463232818
Jayce,0.8593993580385507
Smolder,0.8549678519917047
Ornn,0.8500868000824403
Gnar,0.8470962192329895
Warwick,0.8442024862976608
TahmKench,0.8440692582180306
ChoGath,0.8428674420898233
Renekton,0.8421330305294928
Tryndamere,0.8413700808499732
Fiora,0.8399931748425741
Camille,0.8378500162257466
Galio,0.8368709497237498
Mordekaiser,0.8351192706914835
Sett,0.8335849337195539
Heimerdinger,0.8325342243020905
Yorick,0.8311639494733162
Kayle,0.8273493097432847
Singed,0.8257025730543553
Gwen,0.8224185760837822
Garen,0.8184476837895277
Volibear,0.8176355189828245
Irelia,0.8165484259788378
Yone,0.8083867442548069
Jax,0.8064191425002482
Shen,0.8010275150518275
Swain,0.798165548645849
Darius,0.7932767566796857
Zac,0.7856858758394397
Riven,0.7820932019388732
Yasuo,0.7717868715545871
Ambessa,0.7712340242852275
Maokai,0.7647224426339924
Karma,0.7410193700995799
Sion,0.7214207350944222
Rengar,0.6876583763491319
