partner,score
Sylas,1.1041643620525718
Gragas,1.0626009850401323
Sion,1.0423195923372761
ChoGath,1.0327644142636316
Vladimir,1.0310723838174203
Galio,1.0300849855379826
Malphite,1.0271776714097067
Rumble,1.010910748940464
Urgot,1.0045744010960556
Yasuo,1.001433136372888
Sett,0.9849636527605528
Ryze,0.9810559932191405
Garen,0.978818883804053
Aatrox,0.9775534516708584
Nasus,0.9746266968284542
DrMundo,0.9715828518248208
Poppy,0.9701667028198219
Olaf,0.9700876586954259
Yorick,0.9679021033115767
Mordekaiser,0.9675909763888673
Camille,0.9663271399569113
TahmKench,0.9639778100166145
Kled,0.9604517888101478
Varus,0.9556946935728772
Maokai,0.9539056722219733
Shen,0.9534709671825441
Ornn,0.9494338052237608
Irelia,0.941691070047939
Pantheon,0.9394428164625757
Warwick,0.9392284742455587
Zaahen,0.9327837831504932
Cassiopeia,0.9310807591316798
Fiora,0.9309738702575041
Zac,0.9298881721714845
Wukong,0.9265025115975465
Viktor,0.9232980084745966
KSante,0.919545288935073
Gangplank,0.9186250912258267
Akali,0.9126994455649786
Renekton,0.9024548443163307
Kennen,0.896868650002595
Quinn,0.8859086245009776
Tryndamere,0.8788519140924984
Gwen,0.8787466539111876
Yone,0.8737655839003224
Volibear,0.8710996934689236
Jayce,0.8671505914673836
Udyr,0.8670786009789908
Illaoi,0.8638914398381977
Jax,0.8598941637402889
Ambessa,0.8555038745556808
Smolder,0.8514408777091038
Darius,0.8450162448550944
Singed,0.8421420262367018
Riven,0.8401127096107656
Karma,0.8385759008929383
Heimerdinger,0.8262065866222534
Aurora,0.8137767403036213
Gnar,0.8132837272938561
Trundle,0.8124696025309144
Swain,0.8031457120497331
Rengar,0.7864899415093853
Kayle,0.7817876387645666
Teemo,0.7791831278343507
