partner,score
Sylas,1.1259029070149413
Galio,1.094765548457814
Vladimir,1.0700848368659204
Cassiopeia,1.053616826143941
Ryze,1.0500342802153138
Kennen,1.0343128618528015
Aatrox,1.025261238456705
Malphite,1.0249721202017459
Viktor,1.0228042370293973
Gragas,1.0220868894778845
Quinn,1.0215595757620413
Yorick,1.0172752972019437
Akali,1.013845753967324
Jayce,1.0084948439833723
Nasus,1.0052207001344586
Urgot,1.0037077826415404
Ambessa,1.0022798131873056
TahmKench,0.9991754037628242
Varus,0.9970809863457523
Poppy,0.9922349696604055
Wukong,0.9918841374364438
Smolder,0.9917356355169409
Shen,0.9915926008441976
Heimerdinger,0.9878572395702269
Gangplank,0.98700940026299
Rumble,0.9854379835422171
Camille,0.9850949503443993
DrMundo,0.9828238231771843
Aurora,0.9823862951637764
Sett,0.9803988953832826
Kayle,0.9799075953884022
ChoGath,0.9743320776803176
Sion,0.9727747107881958
Teemo,0.9702569746379681
Renekton,0.9695833128285108
Garen,0.9658820327436114
Jax,0.9609484070536074
Gnar,0.9607556520836282
Yasuo,0.9577606884677923
Olaf,0.9522197165038404
Swain,0.9494028140881399
Gwen,0.9480956008113758
Fiora,0.9432539837944547
Maokai,0.9384863986447832
Ornn,0.9360696118934696
Vayne,0.9327837831504932
Zac,0.9326652779005546
Tryndamere,0.9324161122640732
Riven,0.9254483780927252
Singed,0.9214505001276426
Mordekaiser,0.9104613205431618
Yone,0.9090692144105498
Warwick,0.9079958031448455
Irelia,0.9068580924649646
Pantheon,0.9053379947393358
Illaoi,0.9025348987416187
Rengar,0.9006240354923866
KSante,0.8955443601471165
Karma,0.8896597053338036
Trundle,0.8745096590198866
Udyr,0.8719621046243031
Volibear,0.864598399329723
Kled,0.8582237137813307
Darius,0.8540479664570264
