partner,score
Vladimir,0.9771228035893894
Quinn,0.9458715142478956
Ornn,0.9394199127977285
Malphite,0.9102666745492708
Ryze,0.9094004723920195
Gragas,0.9051481829781632
Rumble,0.8997096096853475
Jayce,0.8990633196217289
DrMundo,0.8969679238902714
Sylas,0.8960205581953691
Irelia,0.8613268715888193
Galio,0.8428462275872068
Nasus,0.8341575824452144
Illaoi,0.8320155789121301
Poppy,0.82961597259076
Yorick,0.8294890998779928
Karma,0.8229887017283698
Viktor,0.8181805863209886
Sett,0.8157228073710051
Wukong,0.815438229405865
Kayle,0.8089770504502742
Sion,0.8035883762470528
Kled,0.8026679369363123
Olaf,0.7992426563351929
Varus,0.7976435996145982
Rengar,0.7943175943266247
Teemo,0.7921742748216295
Urgot,0.7915559442388813
Aurora,0.79086715442006
Gnar,0.78981976253723
TahmKench,0.7889222011463272
Kennen,0.7860987629898482
Mordekaiser,0.7838763781610624
Aatrox,0.7825165759853125
Riven,0.7820991388937945
Pantheon,0.775287403996926
ChoGath,0.7707109552343271
Heimerdinger,0.7631528706953284
Akali,0.7614767537891527
KSante,0.7598484826264683
Maokai,0.7463960232741285
Renekton,0.7455719497938856
Cassiopeia,0.7422247549396171
Jax,0.742044490171967
Zaahen,0.7405753699496015
Gwen,0.739369152442756
Camille,0.7392584036370339
Ambessa,0.7386320972694995
Vayne,0.7384312244958642
Zac,0.7355476960712456
Swain,0.7352356664150377
Yasuo,0.7319798446980016
Trundle,0.7243731334230813
Garen,0.7159623543102144
Smolder,0.7132266675437244
Shen,0.710630264375612
Gangplank,0.7066722192511952
Singed,0.7000112018136552
Tryndamere,0.6806007752717494
Fiora,0.679338604018885
Volibear,0.670129529381027
Udyr,0.6666847654223461
Yone,0.6641904515419212
Warwick,0.6598796146486001
