partner,score
Volibear,0.9114727492659429
Darius,0.8969679238902714
Renekton,0.8735760811256515
Singed,0.8685430103656274
Vayne,0.8648869398258393
Tryndamere,0.8583204704679361
Fiora,0.8379743493531158
Ambessa,0.8344183062041393
Viktor,0.8326400420874586
Jayce,0.8273154316315229
Jax,0.8262178146317346
Camille,0.8259313617515252
Kennen,0.824844045091718
Sett,0.8066288938966077
Pantheon,0.8062184615042349
Heimerdinger,0.7993405430931897
Warwick,0.7944773951257076
Urgot,0.7889036150666223
Poppy,0.7842373232164838
Riven,0.7820179623809069
Quinn,0.7799222120365141
Karma,0.778741707911149
Yone,0.7782206980413836
Garen,0.7714566210847689
Smolder,0.7646216335541759
Zaahen,0.7641032582228764
Varus,0.7584645119641158
Teemo,0.7563073705411449
Wukong,0.7561216176098894
Cassiopeia,0.7332296025624433
Gnar,0.7307874470972943
Gragas,0.7229068631440712
Akali,0.7207605090203818
Trundle,0.7158638449014763
Ryze,0.7124538482385246
Shen,0.7059662645650324
Kayle,0.7052589315059128
Aatrox,0.7040601561669831
Yasuo,0.6881867368833159
Sylas,0.6753484119655947
Olaf,0.6671812666151217
Mordekaiser,0.6648311691169216
Malphite,0.6596088718997045
Nasus,0.6568444360227322
Kled,0.6386259675431504
Yorick,0.6379661688261481
Gangplank,0.6356285441527997
Aurora,0.6311979762222274
Gwen,0.6284827390748545
Udyr,0.622127301760057
Irelia,0.602180803455331
KSante,0.5987856511728018
Vladimir,0.5915164076196506
Rumble,0.5911162405235041
Rengar,0.5826774792929267
Illaoi,0.5746767149515695
Zac,0.5689867531571975
Ornn,0.5544378971797294
Swain,0.5344204678762733
Galio,0.5317117407262253
TahmKench,0.46766010755991116
ChoGath,0.4555254915985794
Maokai,0.41322665980780493
Sion,0.3767506666488954
