partner,score
Quinn,0.9143404240013884
Rengar,0.8930400735822309
Sylas,0.8900900766152658
Ambessa,0.8779938381901415
Vladimir,0.8744320336072393
Zaahen,0.8671365294720961
Olaf,0.8605678630709696
Fiora,0.8593870010208742
Pantheon,0.8527335629958128
Viktor,0.852535875392153
Tryndamere,0.8431768851087977
Kled,0.8401609809096201
Warwick,0.839532132975956
Singed,0.8379065918440259
Camille,0.8344949155441831
Vayne,0.831495891002677
Ryze,0.8267330017730177
Irelia,0.8263363534809001
Wukong,0.8234235245630857
Poppy,0.8215491039898755
Riven,0.8184056192340703
Rumble,0.8138316668399387
Aatrox,0.8117847462807639
Jayce,0.811774897195382
Udyr,0.8105414251925717
Renekton,0.8093007198360147
Mordekaiser,0.8043467008139952
Shen,0.8019288005983594
Malphite,0.8016488765256732
TahmKench,0.8012042438132834
Garen,0.7998780559184598
DrMundo,0.7993405430931897
Yorick,0.7942583406938221
Yone,0.7938024031426675
Kayle,0.7901028390683575
Gragas,0.7895965397048395
Urgot,0.7848510838220981
Galio,0.7831247206758043
Karma,0.7830660533789762
Volibear,0.7787232674582898
Trundle,0.772850152735272
Kennen,0.765231538666596
Darius,0.7631528706953284
Akali,0.7606579144137194
Yasuo,0.7589777105917542
Teemo,0.7529750299371558
Gnar,0.752032531090322
Zac,0.7514946927352677
Varus,0.749065184125387
Sett,0.7461910665920329
ChoGath,0.7352084432563537
Aurora,0.7325330663439074
Nasus,0.7218142302296028
KSante,0.7135998264149811
Swain,0.7123793508810663
Sion,0.7106862522089713
Illaoi,0.7100967882934306
Smolder,0.7070494451344131
Gwen,0.7063138221586953
Cassiopeia,0.7051736927296242
Ornn,0.6969324468907849
Gangplank,0.6607681294226323
Jax,0.6520302202842146
Maokai,0.5764840065237103
