partner,score
Urgot,0.8809963509738735
Karma,0.8750093434703725
Vladimir,0.8736047868963185
Sylas,0.8486718992499311
Varus,0.8486652243081042
Nasus,0.8476979119469874
Kennen,0.8431863982914478
Jayce,0.8428982604442679
Heimerdinger,0.8401609809096201
Gragas,0.8306776155733179
Viktor,0.8281137833456265
Pantheon,0.8227581211299313
Malphite,0.8143238453784668
Vayne,0.8128462964401937
Galio,0.8074349419978184
Darius,0.8026679369363123
Sett,0.7970180723905491
Aurora,0.7797584584014088
Maokai,0.7775539918570611
Jax,0.7760758007517228
Gangplank,0.7743270482071137
Cassiopeia,0.7673405278348544
Renekton,0.7666992597014666
Teemo,0.7654770760152061
Zaahen,0.7647576192749135
Akali,0.7640962477316608
Poppy,0.7623315329786
Kayle,0.7612329221377614
Ambessa,0.7607215063658377
Quinn,0.754024786394319
Swain,0.74840867123385
Rumble,0.745802717608125
Yorick,0.7425534689192441
Ryze,0.7416484939248591
Volibear,0.7399498328586613
Gwen,0.7354721821680074
Riven,0.7339565205508877
Wukong,0.7320941932761192
Gnar,0.7304288710645089
Smolder,0.7253298037661552
Olaf,0.7243512255397424
Camille,0.7210177708377741
Ornn,0.7161426251108649
Yone,0.7136017480438582
Garen,0.7044049604302292
Singed,0.7042248979479722
Illaoi,0.6897798423836026
Warwick,0.6819711531180317
TahmKench,0.6771388322509416
Shen,0.6726462205348733
Tryndamere,0.6712070979363115
Mordekaiser,0.6706919285428585
Trundle,0.6695431658149381
ChoGath,0.6601210746051236
Fiora,0.6575828705581347
Yasuo,0.6572385842891556
Aatrox,0.6490531850980673
DrMundo,0.6386259675431504
Irelia,0.6257010195485877
KSante,0.611944592575085
Zac,0.6069680102120745
Rengar,0.6059503135117977
Sion,0.5570578744632718
Udyr,0.5084493333009962
