partner,score
Yone,0.9657774865195845
Vayne,0.9621413689650574
Singed,0.954992515071149
Varus,0.9464678403671866
Aatrox,0.9154979638447694
Darius,0.9102666745492708
Ambessa,0.9099333544163887
Sylas,0.9041402076506435
Mordekaiser,0.9037126801953315
Shen,0.9014771340584568
Gwen,0.9003764691386094
Fiora,0.8961079732460767
Garen,0.8865192062012426
Smolder,0.883870146472648
Pantheon,0.869799378503275
Ryze,0.8611339698180978
Aurora,0.8608864599170827
Kayle,0.8605085811468856
Sett,0.852552654977741
Tryndamere,0.8499314808672782
Volibear,0.8480962697843676
Gnar,0.8410417373744954
Illaoi,0.8324109138922079
Trundle,0.8228624860555331
KSante,0.8227589022533258
Viktor,0.815276500398929
Kled,0.8143238453784668
Riven,0.8035528491763534
Heimerdinger,0.8016488765256732
Galio,0.800898417185003
Zaahen,0.7955679692274481
Olaf,0.7771413177165779
Yasuo,0.7691566393681385
Yorick,0.7680882023631334
Rumble,0.7621518367104129
Warwick,0.7608111043587765
Urgot,0.759634787285554
Jayce,0.7589073670750976
Nasus,0.7556127648170293
Renekton,0.7528386253857913
Ornn,0.7497470077020542
Karma,0.7490526244577403
Teemo,0.7460160684514894
Swain,0.7428207397133426
Poppy,0.7412914073579236
Udyr,0.7400576997962475
Gragas,0.7395338492818315
Vladimir,0.7386350151584778
Akali,0.7365641740508282
Quinn,0.727682702951431
Gangplank,0.710356852822382
Kennen,0.7055760191320946
Jax,0.6885478997378456
Camille,0.6841591359839564
Cassiopeia,0.6812730777226227
TahmKench,0.679192239084943
ChoGath,0.6768402041289097
Sion,0.6648105391890021
Rengar,0.6605473742314433
DrMundo,0.6596088718997045
Wukong,0.6577073621956395
Irelia,0.6455893639231997
Zac,0.616552430361159
Maokai,0.5797768478280376
