partner,score
Darius,0.9394199127977285
Poppy,0.9294159536247935
Singed,0.9279692480588643
Renekton,0.9164261196994982
Tryndamere,0.9160559714036964
Vayne,0.9083865537998128
Garen,0.8928576757781826
Shen,0.8809260538481434
Trundle,0.8778513753080738
Camille,0.8738716298890052
Ambessa,0.8705990590991589
Fiora,0.8705858281622725
Quinn,0.8622338816370665
Sett,0.8567869257411812
Kennen,0.854716190107882
Viktor,0.8470660598518926
Varus,0.8463910560276042
Warwick,0.8295263900265558
Sylas,0.8241379330198166
Riven,0.8228767908933892
Volibear,0.8151681860807576
Olaf,0.806886769524661
Zaahen,0.8025558053566586
Pantheon,0.7990132124368391
Teemo,0.7960398196344641
Smolder,0.7951381873809333
Yone,0.7920902199604951
Wukong,0.7896153364522072
Vladimir,0.7884214259196763
Kayle,0.7851264942826777
Gangplank,0.784576577104387
Aurora,0.7800245031244559
Udyr,0.7794247412247889
Jax,0.7783655298794365
Rengar,0.7746946447757298
Urgot,0.7671974971753694
Aatrox,0.7629824725206171
Gnar,0.7621075030760635
Jayce,0.7601312117342625
Akali,0.7578473150910112
Karma,0.7575625954507436
Mordekaiser,0.7503203988410699
Illaoi,0.7499657611582211
Malphite,0.7497470077020542
Ryze,0.7476012626981368
Cassiopeia,0.7387530131372118
Rumble,0.7279921354361654
Irelia,0.7203957125731688
Nasus,0.7169017964822698
Kled,0.7161426251108649
Gwen,0.7102042281528815
Galio,0.705545825302963
Heimerdinger,0.6969324468907849
Yorick,0.6941746648989687
Yasuo,0.6929790049789746
Gragas,0.6921222544605264
Zac,0.6806393543225445
TahmKench,0.6736991442484348
KSante,0.6475719568548096
ChoGath,0.6140957796627672
Maokai,0.6004726801511803
Sion,0.5985190546825536
DrMundo,0.5544378971797294
Swain,0.538419511661226
