partner,score
Volibear,0.9531409477693877
Darius,0.9458715142478956
Varus,0.9402638520596976
Gwen,0.9174520091454662
Ambessa,0.9154736075453949
Heimerdinger,0.9143404240013884
Zaahen,0.910849768064932
Sylas,0.9097021069968975
Smolder,0.8925705422165947
Mordekaiser,0.8843237168432557
Singed,0.883542653012192
Vayne,0.8830686951399692
Riven,0.876289240365141
Yone,0.8758003471123416
Sett,0.874636341548864
Warwick,0.8688466958581229
Renekton,0.866673218150455
Galio,0.8629954214035591
Ornn,0.8622338816370665
Illaoi,0.8610618199242194
Jax,0.8595084759121796
Gragas,0.856548472647896
Pantheon,0.8561779566532814
KSante,0.8490143895623794
Trundle,0.8448369114142904
Nasus,0.843903293366957
Yorick,0.822739770365707
Swain,0.8213955989016485
Kayle,0.8204546296437387
Shen,0.8168142940826391
Olaf,0.8128827247256166
Akali,0.8088868959166302
Rumble,0.8086652371755103
Gnar,0.8073224468555146
Aurora,0.8033128632502525
Fiora,0.8027232334117426
Garen,0.7972782496729212
Ryze,0.7972559687144487
Maokai,0.7966758217581467
Tryndamere,0.7942774198032907
Urgot,0.7899889473806728
DrMundo,0.7799222120365141
Udyr,0.7776284253347124
Poppy,0.7754940833691095
Karma,0.7639431976998616
ChoGath,0.7627521065190327
Teemo,0.7597506689078463
Wukong,0.7595182749730389
Aatrox,0.7554408355660042
Kled,0.754024786394319
TahmKench,0.7530334488396991
Yasuo,0.7523562261170217
Irelia,0.7505438898131467
Viktor,0.7501232654442046
Camille,0.7479940334712079
Jayce,0.7477128196103591
Gangplank,0.7476562156351428
Vladimir,0.7430557456618745
Kennen,0.7427614979834637
Zac,0.7368899579025678
Sion,0.7296585345700141
Malphite,0.727682702951431
Rengar,0.714295598827386
Cassiopeia,0.693114803581847
