partner,score
Varus,0.9236932937264785
Heimerdinger,0.8930400735822309
Smolder,0.8839999364134749
Kayle,0.8658492614396885
Vayne,0.8429165897709475
Aurora,0.831944513137035
Volibear,0.8295165279306298
Sylas,0.8210770547534408
Trundle,0.8150241805786927
Pantheon,0.8136149718496793
Mordekaiser,0.813582414393981
Renekton,0.8122745961869261
Nasus,0.8043017942460091
Gnar,0.8022370626622709
Gwen,0.8010096753945432
Gragas,0.8002233195826838
Karma,0.8001576619810639
Kennen,0.7972735770383174
Ryze,0.7970309362861473
Darius,0.7943175943266247
Jayce,0.7884719112193003
Ornn,0.7746946447757298
Ambessa,0.7745525462250723
Urgot,0.7686089963496534
Vladimir,0.7651582173570156
Swain,0.7597270662116147
Aatrox,0.7569934756063667
Viktor,0.7558064066528306
Galio,0.7477629831688619
TahmKench,0.7431763584233005
Cassiopeia,0.7333799439918421
Sett,0.7325292527626651
Illaoi,0.731083846563097
Shen,0.7300987683023178
Jax,0.7167403876649823
Yone,0.7163463611952764
Quinn,0.714295598827386
Teemo,0.7112911414117753
Rumble,0.7094821135958448
Wukong,0.7057206364149118
Singed,0.7008797869956958
KSante,0.7002459459620981
Warwick,0.6988967836247547
Yorick,0.6979726963974627
Zaahen,0.6860835299158572
Camille,0.6776795189015888
Malphite,0.6605473742314433
Maokai,0.6568274871248772
Akali,0.6544718728991205
Gangplank,0.6514721624444366
Fiora,0.6506198850366888
Riven,0.6500018946931829
ChoGath,0.64869604729468
Poppy,0.6383829881188019
Tryndamere,0.6133026807319026
Sion,0.6112559124631959
Olaf,0.6074386823687918
Kled,0.6059503135117977
Udyr,0.5952024848211198
Garen,0.587479136421032
DrMundo,0.5826774792929267
Zac,0.5749081435482735
Yasuo,0.5438859114415283
Irelia,0.45732564424918837
