partner,score
Vladimir,0.8973953054172178
Sylas,0.8869031640721559
Mordekaiser,0.8855404788319
Varus,0.8851775307608263
Shen,0.8800491783669708
Quinn,0.876289240365141
Yorick,0.8742020407168961
Gragas,0.8667761019407108
Ryze,0.8540158407781793
Rumble,0.8524019960175333
Poppy,0.8427763862854596
Vayne,0.8378826019571901
Renekton,0.8325393889862261
Garen,0.827365345945628
Galio,0.8271224412026251
TahmKench,0.8242518228746258
Ornn,0.8228767908933892
ChoGath,0.8215635824819287
Heimerdinger,0.8184056192340703
Nasus,0.8172768150634153
Kayle,0.8151461451789861
Illaoi,0.8118340277220304
Cassiopeia,0.8112239670705237
Malphite,0.8035528491763534
Pantheon,0.8034611558988356
Karma,0.8033647018900629
Trundle,0.7943002906543255
Kennen,0.7882707151840108
Volibear,0.7880093803359798
Aatrox,0.7856420723213873
Darius,0.7820991388937945
DrMundo,0.7820179623809069
Olaf,0.7801662426971732
Viktor,0.7794556503785455
Teemo,0.7731474556684783
Singed,0.771044159771299
Smolder,0.7699846689045156
Urgot,0.768886800430265
Aurora,0.7684697075160679
Gwen,0.7657608928578463
Sion,0.7583545062924096
Maokai,0.7535430006186055
KSante,0.7492091318594912
Jayce,0.7436077987747371
Tryndamere,0.7368969414803505
Kled,0.7339565205508877
Gangplank,0.7331574162439561
Yone,0.7291974897787397
Sett,0.7286601835579966
Camille,0.7263654989295041
Swain,0.7216857116716489
Udyr,0.7206160052891663
Wukong,0.7204434020027242
Ambessa,0.7170660341556008
Gnar,0.7146305220776329
Fiora,0.6981145132263944
Yasuo,0.688242963747934
Zaahen,0.6791886270938694
Warwick,0.6679962805880759
Jax,0.6605597592967973
Zac,0.6601419129862991
Akali,0.6562022617285994
Irelia,0.6550744496530578
Rengar,0.6500018946931829
