partner,score
Volibear,0.9567413305880953
Vayne,0.9335392978101353
Sylas,0.9325702483878882
Tryndamere,0.920607764315661
Viktor,0.9143558038772208
Renekton,0.9092557728842338
Zaahen,0.9025376826950342
Darius,0.8997096096853475
Singed,0.8955183846488576
Sett,0.8894635747333401
Fiora,0.873686795113097
Gnar,0.8721961877888681
Jax,0.8708637267799152
Jayce,0.8672036719584949
Yone,0.8655738220106325
Poppy,0.8536672780422303
Smolder,0.8535519104041901
Riven,0.8524019960175333
Varus,0.8520483607233541
Shen,0.8475147237775025
Aatrox,0.8471315199332757
Camille,0.8429667794615749
Cassiopeia,0.8348147546469379
Garen,0.8323912411561948
Ambessa,0.8264732083400845
Pantheon,0.8255668577520566
Wukong,0.8238751235206366
Kayle,0.8211458614319255
Kennen,0.8204178625941704
Urgot,0.8155744389097682
Heimerdinger,0.8138316668399387
Olaf,0.8129131053298827
Quinn,0.8086652371755103
Ryze,0.7995735036139135
Trundle,0.7986662649493405
Mordekaiser,0.7947575095705911
Karma,0.7924567770024118
Warwick,0.7884721762607954
Teemo,0.7866039395809528
Galio,0.7855513099816598
Akali,0.7851738876560571
Gwen,0.7834285225895697
Yasuo,0.7791337987127297
Nasus,0.7786958998042053
KSante,0.778059601091983
Gragas,0.7667353459968336
Malphite,0.7621518367104129
Vladimir,0.7593100797642772
Irelia,0.7539339032442699
Yorick,0.7532066446367511
Aurora,0.7511355391773556
Kled,0.745802717608125
Illaoi,0.7402912188574667
Ornn,0.7279921354361654
Gangplank,0.7169787179691316
Rengar,0.7094821135958448
Zac,0.6875119495325905
Sion,0.6678596425201618
Swain,0.6621186209252092
Udyr,0.6614433960409827
ChoGath,0.6283648806595455
Maokai,0.6233943796778988
TahmKench,0.6167564733318137
DrMundo,0.5911162405235041
